Number,Sentence
1,셰익스피어/NNP 에/JKB 대하__02/VV 전기__12/NNG
2,에/JKB 의하/VV 제기__06/NNG
3,그러나/MAJ 우리/NP 늘/MAG 가난__01/NNG 에/JKB 쫓기/VV
4,년__02/NNB 돌턴/NNP 에/JKB 의하/VV 제창__04/NNG
5,그리고/MAJ 만돌이/NNP 경찰__04/NNG 에/JKB 맞__03/VV 것/NNB
6,그만큼/MAG 구설수/NNG 에/JKB 시달리/VV
7,디드로/NNP 달랑베르/NNP 에/JKB 의하/VV 년__02/NNB
8,교원__03/NNG 에/JKB 뭇매/NNG 맞__03/VV 교육/NNG 정책__02/NNG
9,주로/MAG 하층/NNG 계급__02/NNG 에/JKB 의하/VV 발생/NNG
10,컴퓨터/NNG 프로그램/NNG 저작__03/NNG 에/JKB 의하/VV 보호__01/NNG 범위/NNG
11,무엇/NP 눈__01/NNG 에/JKB 띄/VV
12,부산/NNP 대구/NNP 인천/NNP 차량__01/NNG 눈__01/NNG 에/JKB 띄__01/VV
13,그래서/MAJ 논리/NNG 비약/NNG 눈__01/NNG 에/JKB 뜨이__02/VV
14,약국__02/NNG 그/NP 시선__03/NNG 에/JKB 걸리__01/VV
15,아무/NP 눈__01/NNG 에/JKB 띄__01/VV
16,비로소/MAG 남편__01/NNG 신음__01/NNG 소리/NNG 귀__01/NNG 에/JKB 들려오/VV
17,저쪽/NP 에/JKB 트집/NNG 잡히__02/VV
18,그러나/MAJ 유일이/NNP 그것/NP 에/JKB 치이__02/VV
19,그래서/MAJ 마을__01/NNG 별로/MAG 눈__01/NNG 에/JKB 띄__01/VV
20,나/NP 공연히__02/MAG 생각__01/NNG 에/JKB 사로잡히/VV
21,비로소/MAG 상처__02/NNG 자세히/MAG 눈__01/NNG 에/JKB 들어오/VV
22,형__01/NNG 목소리/NNG 기타__02/NNG 소리__01/NNG 에/JKB 묻히__02/VV
23,이이/NNP 눈__01/NNG 에/JKB 아무것/NNG 보이__01/VV
24,바깥/NNG 소음__06/NNG 에/JKB 묻히__02/VV
25,양혜왕/NNP 맹자/NNP 논리/NNG 에/JKB 걸려들/VV
26,선물__03/NNG 가게/NNG 모습__01/NNG 눈__01/NNG 에/JKB 띄__01/VV
27,귀__01/NNG 에/JKB 재앵/MAG 들리__03/VV 어머니/NNG 소리__01/NNG
28,거짓말/NNG 아무/NP 눈__01/NNG 에/JKB 띄__01/VV
29,얼굴/NNG 눈__01/NNG 에/JKB 띄__01/VV
30,남자__02/NNG 뒷모습/NNG 눈__01/NNG 에/JKB 익/VA
31,저/NP 눈__01/NNG 에/JKB 그것/NP 보이__01/VV
32,자연__01/NNG 에/JKB 맡기/VV
33,항공로/NNG 항공기/NNG 에/JKB 의하/VV 간__10/NNB 교통__01/NNG 노선/NNG
34,연습실/NNG 적막__01/NNG 에/JKB 파묻히/VV
35,간혹/MAG 눈__01/NNG 에/JKB 띄__01/VV
36,눈__01/NNG 에/JKB 확/MAG 뜨이__02/VV
37,철야/NNG 또는/MAG 야간/NNG 계속__04/NNG 신문__07/NNG 에/JKB 의하/VV 자백__01/NNG
38,국민/NNG 저축/NNG 조합법/NNG 에/JKB 의하/VV 강제__01/NNG 저금/NNG
39,눈__01/NNG 에/JKB 보이__01/VV 놀이터/NNG
40,눈__01/NNG 에/JKB 보이__01/VV 이미지/NNG
41,경쟁/NNG 눈__01/NNG 에/JKB 띄__01/VV 계속__04/NNG
42,눈__01/NNG 에/JKB 띄__01/VV 제품__02/NNG
43,선임__03/NNG 접견/NNG 교통__01/NNG 침해/NNG 에/JKB 의하/VV 자백__01/NNG
44,분산__02/NNG 것/NNB 에/JKB 의하/VV 대체__03/NNG
45,그것/NP 나/NP 배신__02/NNG 사람/NNG 에/JKB 의하/VV
46,학년/NNG 광택이/NNP 눈__01/NNG 에/JKB 띄__01/VV
47,마을__01/NNG 산그늘/NNG 에/JKB 묻히__02/VV
