Number,Sentence
1,지구촌/NNG 월드컵/NNG 열기__07/NNG 에/JKB 휩싸이/VV
2,말__01/NNG 에/JKB 최재걸/NNP 짐짓/MAG 경색__01/NNG 짓__01/VV
3,천진__03/NNG 표정__03/NNG 에/JKB 마음__01/NNG 풀리/VV
4,그/NP 설움/NNG 에/JKB 말문__01/NNG 막히/VV
5,말__01/NNG 에/JKB 나/NP 생각__01/NNG 나/VV
6,영어/NNP 실력__02/NNG 에/JKB 대하__02/VV 자신감/NNG 때문/NNB
7,책머리/NNG 에/JKB 중__01/NNG 스승__01/NNG 묻__03/VV
8,박창길/NNP 말__01/NNG 에/JKB 이재필/NNP 장단__01/NNG 먹이/VV
9,온몸/NNG 땀__01/NNG 에/JKB 흠뻑/MAG 젖__01/VV
10,이즈음/NNG 진우/NNP 취직/NNG 준비/NNG 에/JKB 여념/NNG 없/VA
11,말__01/NNG 에/JKB 레빈/NNP 갑자기/MAG 열__07/NNG 나/VV
12,음성__02/NNG 에/JKB 첫째/NR 어머니/NNG 왈칵/MAG 내닫/VV
13,바람__01/NNB 에/JKB 아줌마/NNG 넘어지/VV
14,그리고/MAJ 등쌀/NNG 에/JKB 시름/NNG 층__02/NNG 같/VA
15,납치/NNG 에/JKB 의하/VV 행방불명/NNG
16,신철이/NNP 대답/NNG 에/JKB 궁__10/NNG 가만히/MAG 있/VV
17,덕분/NNG 에/JKB 잘/MAG 지내/VV
18,바람__01/NNG 에/JKB 일/NNB 이상__05/NNG 걸리__01/VV
19,의외/NNG 에/JKB 장돌뱅이/NNG 공동묘지/NNG 이야기/NNG 꺼내/VV
20,말__01/NNG 에/JKB 아버지/NNG 새삼/MAG 그림__01/NNG 바라보/VV
21,걱정/NNG 끝/NNG 에/JKB 산부인과/NNG 찾/VV
22,오히려/MAG 때문/NNB 에/JKB 부패__04/NNG 더/MAG 생기/VV
23,검소/NNG 표정__03/NNG 에/JKB 시선__03/NNG 멈추/VV 안정세/NNG
24,때문/NNB 에/JKB 평생/NNG 독신__01/NNG 살__01/VV
25,기세__01/NNG 에/JKB 타자__03/NNG 밀리__01/VV
26,나/NP 말__01/NNG 에/JKB 영순이/NNP 눈__01/NNG 흘기/VV
27,덕분/NNG 에/JKB 금전__05/NNG 출혈/NNG 심하/VA
28,그것/NP 때문/NNB 에/JKB 가정부__01/NNG 다투/VV
29,바람__01/NNB 에/JKB 잠__01/NNG 깨__01/VV
30,저놈/NP 장력__01/NNG 에/JKB 나가떨어지/VV 것/NNB
31,너/NP 덕분/NNG 에/JKB 재미/NNG 좀/MAG 보__01/VV
32,매일/MAG 돈__01/NNG 때문/NNB 에/JKB 엄마/NNG 아빠/NNG 싸우/VV
33,이것/NP 때문/NNB 에/JKB 이혼__03/NNG 높/VA
34,그/NP 생각__01/NNG 에/JKB 얼굴/NNG 화끈/MAG 달__01/VV
35,지현/NNP 말__01/NNG 에/JKB 정희/NNP 깜빡/MAG 제정신/NNG 돌리__04/VV
36,너/NP 덕분/NNG 에/JKB 좀/MAG 쉬__03/VV
37,당신/NP 마시/VV 외상__01/NNG 술값/NNG 때문/NNB 에/JKB
38,결혼/NNG 사회__07/NNG 지위__04/NNG 때문/NNB 에/JKB 하/VV
39,석양빛/NNG 에/JKB 앞벌/NNG 비단결/NNG 같/VA
40,유/NNP 간사__06/NNG 노크/NNG 소리__01/NNG 에/JKB 고개__01/NNG 쳐들/VV
41,통__06/NNB 에/JKB 구두__01/NNG 짝__01/NNG 벗겨지/VV
42,나/NP 때문/NNB 에/JKB 신경__04/NNG 많이/MAG 쓰이__03/VV
43,큰언니/NNG 들이단짝/MAG 말__01/NNG 에/JKB 손톱__01/NNG 세우__01/VV
44,나/NP 거기/NP 갈증/NNG 에/JKB 시달리/VV
45,이것/NP 때문/NNB 에/JKB 오해__02/NNG 하/VV
46,덕분/NNG 에/JKB 아침/NNG 좀/MAG 울__01/VV
47,흐느낌/NNG 때문/NNB 에/JKB 온몸/NNG 떨리__01/VV
48,새끼__02/NNG 때문/NNB 에/JKB 또/MAJ 하/VV
49,뜻밖/NNG 말__01/NNG 에/JKB 옥점이/NNP 호호__02/MAG 웃/VV
50,그녀/NP 말__01/NNG 에/JKB 나/NP 다시/MAG 한번/NNG 놀라/VV
51,나/NP 오줌/NNG 때문/NNB 에/JKB 눈__01/NNG 뜨__05/VV
52,아침/NNG 햇살/NNG 새소리/NNG 에/JKB 눈__01/NNG 뜨__05/VV
53,우리/NP 새끼__02/NNG 땜/NNB 에/JKB 살__01/VV
54,바람__01/NNB 에/JKB 등__01/NNG 만지/VV
55,잘/MAG 있/VV 덕분/NNG 에/JKB
56,기대__03/NNG 이상__05/NNG 한국인/NNG 친절/NNG 에/JKB 너무나/MAG 고맙__01/VA
57,요즘/NNG 우리/NP 돈__01/NNG 때문/NNB 에/JKB 무척/MAG 시달리/VV
58,나/NP 때문/NNB 에/JKB 갇히/VV
59,그래서/MAJ 기획__01/NNG 기사__10/NNG 에/JKB 반응/NNG 없/VA
60,생각__01/NNG 에/JKB 입술/NNG 깨물/VV
61,두꺼비/NNG 말__01/NNG 에/JKB 태봉이/NNP 껄껄/MAG 웃/VV
62,피비린내/NNG 에/JKB 몸서리치/VV
63,덕분/NNG 에/JKB 잘/MAG 자__01/VV
64,바람__01/NNB 에/JKB 창석이/NNP 처가/NNG 혼나/VV
65,저/NP 땜/NNB 에/JKB 쫓겨나/VV 거/NNB
66,잡음__02/NNG 때문/NNB 에/JKB 못/MAG 듣__01/VV
67,해방__05/NNG 덕분/NNG 에/JKB 풀려나/VV 거/NNB
68,잘나/VA 우리/NP 집__01/NNG 위인__02/NNG 때문/NNB 에/JKB 말__01/NNG
69,스잔/NNP 농담__01/NNG 에/JKB 미혜/NNP 웃/VV
70,그녀/NP 소리__01/NNG 에/JKB 눈__01/NNG 반짝__02/MAG 뜨__05/VV
71,덕분/NNG 에/JKB 나/NP 제대로/MAG 먹__02/VV
72,살의/NNG 때문/NNB 에/JKB 손__01/NNG 떨리__01/VV
73,바람__01/NNG 에/JKB 흔들리/VV 나뭇잎/NNG
74,내/NP 녀석/NNB 때문/NNB 에/JKB 푹/MAG 늙/VV
75,바람__01/NNG 에/JKB 흔들리/VV 갈대/NNG
76,바람__01/NNG 때문/NNB 에/JKB 흔들리/VV 것/NNB
77,나/NP 때문/NNB 에/JKB 되돌아오/VV
78,덕분/NNG 에/JKB 분위기/NNG 좋/VA
79,때문/NNB 에/JKB 법인__02/NNG 시민/NNG 하/VV
80,바람__01/NNG 에/JKB 흔들리/VV 갈대/NNG
81,때문/NNB 에/JKB 언론/NNG 흔히/MAG 공기__04/NNG 불리__04/VV
82,경지/NNP 말__01/NNG 에/JKB 점원__01/NNG 아가씨/NNG 생긋/MAG 웃/VV
