Number,Sentence
1,아빠/NNG 생각__01/NNG 에/JKB 말씀/NNG 없/VA
2,자네/NP 왜/MAG 튀김__01/NNG 국수__01/NNG 에/JKB 새우__02/NNG 튀김__01/NNG 쓰__03/VV
3,그녀/NP 기분__01/NNG 에/JKB 빠지__02/VV
4,아내__01/NNG 남편__01/NNG 소유물/NNG 에/JKB 지나/VV
5,우리/NP 번역/NNG 문화__01/NNG 후진국/NNG 에/JKB 머무르/VV
6,그래서/MAJ 도__10/NNG 본래/NNG 모습__01/NNG 에/JKB 가깝/VA
7,불__01/NNG 에/JKB 기름__01/NNG 붓__02/VV 꼴__01/NNG
8,나/NP 세상살이/NNG 에/JKB 고수__11/NNG 되__01/VV
9,어젯밤/NNG 비몽사몽간/NNG 에/JKB 언뜻/MAG 선다님/NNG 뵈__02/VV
10,우리/NP 주력__01/NNG 업종__01/NNG 성숙기/NNG 에/JKB 있/VV
11,바그다드/NNP 슬픔/NNG 에/JKB 젖__01/VV
12,괴로움/NNG 속__01/NNG 에/JKB 나날이/MAG 흘러가/VV
13,있/VV 에/JKB 분명/MAG
14,청와대/NNP 이미/MAG 내핍/NNG 생활/NNG 에/JKB 들어가__01/VV 것/NNB
15,그러나/MAJ 다산/NNP 도학__02/NNG 에/JKB 머무르/VV
16,정말/MAG 나/NP 텔레비전/NNG 중독__01/NNG 에/JKB 걸리__01/VV 모양__02/NNG
17,무사단/NNG 내/NNB 에/JKB 계층/NNG 있/VV
18,인간__01/NNG 지금__03/MAG 위기__01/NNG 상황__02/NNG 에/JKB 놓이/VV
19,결혼/NNG 것/NNB 에/JKB 대하__02/VV
20,이제/MAG 나/NP 노이로제/NNG 에/JKB 걸리__01/VV 지경/NNB
21,꼴__01/NNG 에/JKB 돈__01/NNG 훔치__02/VV
22,포화/NNG 상태__01/NNG 에/JKB 있/VV 용액/NNG 말__01/NNG
23,금발/NNG 머리__01/NNG 에/JKB 푸르/VA 눈__01/NNG
24,지위__04/NNG 에/JKB 오르/VV 일__01/NNG
25,영원__02/NNG 진리/NNG 신선미/NNG 에/JKB 있/VV
26,무엇/NP 가짜/NNG 감정__06/NNG 에/JKB 젖__01/VV 것/NNB
27,곧/MAG 촬영/NNG 에/JKB 들어가__01/VV
28,년__02/NNB 후__08/NNG 수양대군/NNP 왕위__01/NNG 에/JKB 오르/VV
29,수포__01/NNG 에/JKB 돌아가/VV
30,거의/MAG 협박/NNG 에/JKB 가깝/VA 어조__05/NNG
31,무렵/NNB 아내__01/NNG 심장병/NNG 에/JKB 걸리__01/VV
32,아침/NNG 햇살/NNG 에/JKB 규혁/NNP 잠__01/NNG 깨어나/VV
33,이제__01/NNG 실전__04/NNG 에/JKB 들어가__01/VV
34,미군/NNG 부대__08/NNG 이전__08/NNG 운동__02/NNG 에/JKB 다시/MAG 나서/VV
35,이별/NNG 에/JKB 앞서/MAG 포옹/NNG 하/VV 연인__06/NNG 사이__01/NNG
36,우리/NP 식구__01/NNG 한참/NNG 동안__01/NNG 슬픔/NNG 에/JKB 싸이__01/VV
37,소형__03/NNG 암갈색/NNG 에/JKB 가로무늬/NNG 있/VV
38,장발__03/NNG 에/JKB 떡__03/MAG 벌어지__01/VV 어깨__01/NNG
39,선관위/NNG 결국/NNG 일반__02/NNG 투표함/NNG 개표__03/NNG 에/JKB 들어가__01/VV
40,연극/NNG 위기__01/NNG 상황__02/NNG 에/JKB 처하/VV
41,며칠/NNG 나/NP 불면__02/NNG 에/JKB 시달리/VV
42,위험/NNG 속__01/NNG 에/JKB 노출/NNG 비틀대/VV 것/NNB
43,수호/NNP 겁__05/NNG 에/JKB 질리__01/VV
44,언설/NNG 다만/MAJ 거짓/NNG 이름/NNG 에/JKB 지나/VV
45,잠결/NNG 에/JKB 얼핏/MAG 보__01/VV 사람/NNG
46,션/NNP 복수__04/NNG 에/JKB 나서/VV
47,따라서/MAJ 현실__02/NNG 에/JKB 안주__03/NNG 경향__02/NNG 짙/VA
48,당장/MAG 굶/VV 판/NNB 에/JKB
49,박창길/NNP 조합__01/NNG 에/JKB 없/VA
50,그런데/MAJ 내/NP 매너리즘/NNG 에/JKB 빠지__02/VV 것/NNB
51,보름달/NNG 에/JKB 가깝/VA
52,송사리/NNG 떼__01/NNG 에/JKB 틀림없/VA
53,추위__01/NNG 속__01/NNG 에/JKB 춥/VA
54,그녀/NP 침묵/NNG 에/JKB 잠기__02/VV
55,나/NP 사랑__01/NNG 보편__01/NNG 에/JKB 매달리/VV
56,침묵/NNG 에/JKB 영__03/MAG 죽__01/VV 맛__01/NNG
57,지회장/NNG 에/JKB 이종성/NNP 형님/NNG 뽑히/VV
58,경우__03/NNG 펌프실/NNG 내부__04/NNG 혼란/NNG 에/JKB 빠지__02/VV
59,젖/NNG 부족__01/NNG 변비/NNG 에/JKB 걸리__01/VV
60,하지만/MAJ 형__01/NNG 언제나/MAG 희망/NNG 에/JKB 넘치/VV
61,아이__01/NNG 다시금/MAG 두려움/NNG 에/JKB 떨기__01/VV 시작__01/NNG
62,이중고/NNG 에/JKB 시달리/VV
63,거리__01/NNG 여전히/MAG 활기__02/NNG 에/JKB 넘치/VV
64,등__01/NNG 갈색/NNG 에/JKB 검은색/NNG 줄무늬/NNG 있/VV
65,모비스/NNP 연패__01/NNG 늪/NNG 에/JKB 빠지__02/VV
66,배__01/NNG 흰색/NNG 에/JKB 흑갈색/NNG 줄무늬/NNG 있/VV
67,가난__01/NNG 에/JKB 찌들/VV
68,치열__04/NNG 경쟁/NNG 속__01/NNG 에/JKB 하루__01/NNG 다투/VV
69,설악산/NNP 위기__01/NNG 에/JKB 처하/VV
70,우리/NP 지금__03/MAG 집단/NNG 히스테리/NNG 에/JKB 걸리__01/VV
71,재고__04/NNG 언제나/MAG 에/JKB 가깝/VA
72,호나우두/NNP 골__14/NNG 대회__02/NNG 득점왕/NNG 에/JKB 오르/VV
73,감기__04/NNG 에/JKB 잘/MAG 걸리__01/VV
74,부인__01/NNG 별거__02/NNG 상태__01/NNG 에/JKB 있/VV
75,꼴__01/NNG 에/JKB 장개/NNG 가/VV
76,류/NNP 씨/NNB 잠시/MAG 회의감/NNG 에/JKB 젖__01/VV
77,우리/NP 유엔/NNP 각별/NNG 관계__05/NNG 에/JKB 있/VV
78,각급/NNG 학교/NNG 방학/NNG 에/JKB 들어가__01/VV
79,고민/NNG 에/JKB 빠지__02/VV
80,감동__02/NNG 에/JKB 젖__01/VV
81,문학__01/NNG 독자__04/NNG 심리__01/NNG 상태__01/NNG 에/JKB 영향__04/NNG 주/VV
82,추위__01/NNG 에/JKB 풀__02/NNG 잘/MAG 자라__01/VV
83,갈증/NNG 에/JKB 더더욱/MAG 좋/VA
84,훈아/NNP 갑자기/MAG 무섬증/NNG 에/JKB 휩싸이/VV 시작__01/NNG
85,심하/VA 공복__04/NNG 에/JKB 마찬가지/NNG
86,하지만/MAJ 무심결/NNG 에/JKB 흘려버리/VV 물__01/NNG 역시/MAJ 돈__01/NNG
87,학년/NNG 에/JKB 막__01/MAG 올라가/VV
88,먼저/MAG 연예인/NNG 섭외__01/NNG 에/JKB 들어가__01/VV
89,매너리즘/NNG 에/JKB 빠지__02/VV 것/NNB
90,극한__01/NNG 위기__01/NNG 속__01/NNG 에/JKB 억지로/MAG 먹__02/VV 알약/NNG
91,우리/NP 사회__07/NNG 지금__03/MAG 과도기/NNG 에/JKB 있/VV
92,나/NP 조금/MAG 이상__12/NNG 감정__06/NNG 에/JKB 사로잡히/VV
93,주제__04/NNG 에/JKB 여자__02/NNG 눈길__01/NNG 돌리__04/VV
94,단순히/MAG 생활/NNG 에/JKB 여유/NNG 생기/VV 때문/NNB
95,이어/MAG 백악관/NNP 비상__01/NNG 에/JKB 들어가__01/VV
96,서울지하철공사/NNP 노조__02/NNG 일/NNB 오전__02/NNG 부분__01/NNG 파업/NNG 에/JKB 들어가__01/VV
97,이드__01/NNG 보통/NNG 때__01/NNG 의식__03/NNG 속__01/NNG 에/JKB 있/VV
98,다음날/NNG 동생__01/NNG 나/NP 개구리잡이/NNG 에/JKB 나서/VV
99,저녁/NNG 식사__03/NNG 후__07/NNG 뒤풀이__02/NNG 에/JKB 들어가__01/VV
100,때__01/NNG 남성__01/NNG 배신감/NNG 에/JKB 빠지__02/VV
101,마치/MAG 어둠/NNG 에/JKB 던지/VV 효철/NNP 마음__01/NNG
102,작품__01/NNG 화랑__03/NNG 배치__04/NNG 맘__01/NNG 에/JKB 안/MAG 들__01/VV
103,그리고/MAJ 이제/MAG 그녀/NP 폐경기/NNG 에/JKB 들어서/VV
104,아마/MAG 회의__05/NNG 에/JKB 빠지__02/VV 것/NNB
105,그러나/MAJ 나/NP 더욱더/MAG 혼란/NNG 에/JKB 빠지__02/VV
106,긴장감/NNG 에/JKB 어깨숨/NNG 조심__02/NNG 내쉬/VV
107,동현/NNP 혀__01/NNG 취기__03/NNG 에/JKB 휘말리/VV
108,얼마나/MAG 단잠__01/NNG 에/JKB 빠지__02/VV
109,생각__01/NNG 나/NP 단식단/NNG 활동__02/NNG 에/JKB 들어가__01/VV
110,어머니/NNG 배신감/NNG 에/JKB 몸__01/NNG 떨__01/VV
111,감기__04/NNG 에/JKB 약__07/NNG 잘/MAG 먹__02/VV
112,가위__01/NNG 에/JKB 눌리__01/VV 것/NNB
113,내/NP 마음__01/NNG 에/JKB 들__01/VV 시__13/NNG 말__01/NNG
114,무아경/NNG 에/JKB 이르__01/VV
115,부부__03/NNG 생활/NNG 에/JKB 거부감/NNG 생기/VV
116,우리/NP 공황__02/NNG 상태__01/NNG 에/JKB 빠지__02/VV
117,그녀/NP 방__07/NNG 역시/MAG 어둠/NNG 에/JKB 잠기__02/VV
118,백악관/NNP 긴장감/NNG 에/JKB 휩싸이/VV
119,마음__01/NNG 에/JKB 질리__01/VV
120,나/NP 부끄러움/NNG 에/JKB 슬그머니/MAG 고개__01/NNG 돌리__04/VV
121,품이/NNP 곰곰/MAG 생각__01/NNG 에/JKB 잠기__02/VV
122,인간__01/NNG 갈대/NNG 에/JKB 지나/VV
123,남__01/NNG 집__01/NNG 살이/NNG 하/VV 주제__01/NNG 에/JKB
124,경지/NNP 씨/NNB 사랑__01/NNG 에/JKB 빠지__02/VV
125,내/NP 양심선언/NNG 단식__04/NNG 에/JKB 들어가__01/VV
126,등__01/NNG 밤색/NNG 에/JKB 검은색/NNG 줄무늬/NNG 있/VV
127,그런데/MAJ 자리__01/NNG 에/JKB 내/NP 빠지__01/VV
