Number,Sentence
1,비로소/MAG 주위__02/NNG 경관__04/NNG 눈__01/NNG 에/JKB 들어오/VV
2,사내__01/NNG 손__01/NNG 이마__01/NNG 에/JKB 닿/VV
3,예반__01/NNG 땅/NNG 에/JKB 떨어지/VV
4,그녀/NP 머리칼/NNG 뺨/NNG 에/JKB 달라붙/VV
5,눈물__01/NNG 방울__01/NNG 꽃다발/NNG 가시__01/NNG 에/JKB 떨어지/VV
6,것/NNB 땅/NNG 에/JKB 묻히__02/VV
7,동진/NNP 말__01/NNG 귀__01/NNG 에/JKB 들어오/VV
8,그녀/NP 손톱__01/NNG 그/NP 팔__01/NNG 에/JKB 박히/VV
9,오늘/NNG 집__01/NNG 집__01/NNG 에/JKB 가/VV
10,아무튼/MAG 김/NNP 선생/NNG 상좌__03/NNG 에/JKB 앉/VV
11,분식집/NNG 눈__01/NNG 에/JKB 들어오/VV
12,콧등/NNG 이마__01/NNG 에/JKB 식은땀/NNG 나/VV
13,무엇/NP 디지털/NNG 영화__01/NNG 에/JKB 욕심/NNG 나/VV
14,훈련병/NNG 땅바닥/NNG 에/JKB 퍽__01/MAG 쓰러지/VV
15,에드몬톤/NNP 시야__03/NNG 에/JKB 들어오/VV 시작/NNG
16,벌써/MAG 등__01/NNG 에/JKB 땀__01/NNG 배어나/VV
17,그것/NP 이제/MAG 경희/NNP 눈가/NNG 에/JKB 붙/VV
18,그제야/MAG 나/NP 눈__01/NNG 에/JKB 발신인/NNG 뚜렷이/MAG 들어오/VV
19,동__15/NNB 저만큼/MAG 눈__01/NNG 에/JKB 들어오/VV
20,그/NP 눈빛__01/NNG 에/JKB 고통/NNG 떠오르/VV
21,그런데/MAJ 내용__02/NNG 머리__01/NNG 에/JKB 전혀__01/MAG 안/MAG 들어오/VV
22,잎/NNG 땅/NNG 에/JKB 떨어지/VV 모습__01/NNG
23,유족민/NNG 분__01/NNB 말씀/NNG 기억/NNG 에/JKB 남/VV
24,의원__05/NNG 등__05/NNB 물망__02/NNG 에/JKB 오르/VV
25,연출__02/NNG 팔__01/NNG 그/NP 어깨__01/NNG 에/JKB 올라오/VV
26,마침/MAG 건너편/NNG 층계/NNG 에/JKB 저녁/NNG 불빛/NNG 반짝__01/MAG 들어오/VV
27,달__05/NNG 구름__01/NNG 속__01/NNG 에/JKB 들__01/VV
28,서예__01/NNG 에/JKB 먹물/NNG 튀/VV
29,최/NNP 서방__02/NNG 들__01/NNG 에/JKB 나가/VV
30,군__05/NNG 에/JKB 가/VV 말__01/NNG
31,도시__03/NNG 에/JKB 추석__01/NNG 오/VV
32,삼청교육대/NNP 에/JKB 끌려가/VV
33,리처드/NNP 클라인/NNP 문제__06/NNG 에/JKB 다르/VA 접근/NNG
34,먼저/MAG 책방__01/NNG 에/JKB 가/VV
35,명치__01/NNG 에/JKB 걸리__01/VV
36,남산/NNP 에/JKB 올라가/VV
37,벽__06/NNG 에/JKB 붙/VV 빨리/MAG 새끼__02/NNG
38,발__01/NNG 물__01/NNG 속__01/NNG 에/JKB 빠지__02/VV
39,아버지/NNG 형__01/NNG 침대__02/NNG 에/JKB 뉘__01/VV
40,집__01/NNG 에/JKB 가/VV
41,마을__01/NNG 에/JKB 방물장수/NNG 들어오/VV
42,나/NP 그녀/NP 몸뚱이/NNG 위__01/NNG 에/JKB 엎어지/VV
43,그런데/MAJ 하필/MAG 타구__02/NNG 파울/NNG 라인/NNG 위__01/NNG 에/JKB 떨어지/VV
44,결론__02/NNG 에/JKB 도달__01/NNG 수__02/NNB 있/VV
45,저/NP 대학__01/NNG 에/JKB 가/VV
46,등허리/NNG 에/JKB 붙/VV
47,그/NP 오늘/NNG 저녁/NNG 모임__01/NNG 에/JKB 조금/MAG 늦/VV
48,언덕/NNG 꼭대기/NNG 구멍가게/NNG 에/JKB 닿/VV
49,류/NNP 씨/NNB 허탈감/NNG 에/JKB 빠지__02/VV
50,층__02/NNG 에/JKB 다다르/VV 것/NNB
51,반대__03/NNG 벼랑/NNG 에/JKB 몰리__01/VV
52,흰색/NNG 초__01/NNG 개/NNB 욕조/NNG 테두리/NNG 에/JKB 올려놓/VV
53,끝섬/NNP 에/JKB 가/VV 자살__01/NNG 미애/NNP 고백/NNG
54,저기/NP 납골당/NNG 에/JKB 모시/VV
55,반야원/NNP 에/JKB 가/VV
56,나/NP 교사__09/NNG 휴양원/NNG 에/JKB 가/VV
57,그러면/MAJ 또다시/MAG 책장__02/NNG 에/JKB 꽂히/VV
58,우리/NP 지금__03/MAG 시대__02/NNG 에/JKB 오/VV
59,오늘/NNG 원장__07/NNG 구__15/NNG 에/JKB 가/VV
60,놀이터/NNG 에/JKB 참/MAG 오/VV
61,저/NP 집__01/NNG 에/JKB 아주/MAG 가/VV
62,그러나/MAJ 선생__01/NNG 첨벙/MAG 물__01/NNG 에/JKB 엎어지/VV
63,이윽고/MAG 버스__02/NNG 바닷가/NNG 에/JKB 닿/VV
64,춘기/NNP 말__01/NNG 이치__06/NNG 에/JKB 닿/VV
65,조금/MAG 전__08/NNG 문방구/NNG 에/JKB 다녀오/VV
66,그래서/MAJ 자리__02/NNG 에/JKB 눕__01/VV
67,그래서/MAJ 사범대/NNG 에/JKB 들어오/VV
68,떡국/NNG 칼국수/NNG 찌개__01/NNG 에/JKB 살짝/MAG 고명__01/NNG 올려놓/VV
69,이윽고/MAG 약수터/NNG 에/JKB 다다르/VV
70,너/NP 집__01/NNG 에/JKB 가/VV
71,누구/NP 학교/NNG 에/JKB 신문__10/NNG 가져오/VV
72,인생__01/NNG 에/JKB 여유/NNG 가지/VV
73,우리/NP 산꼭대기/NNG 에/JKB 안/MAG 가/VV
74,저/NP 본교__01/NNG 에/JKB 다녀오/VV
75,일본/NNP 에/JKB 가/VV 년__01/NNB
76,해외/NNG 풍토병/NNG 국내__02/NNG 에/JKB 스며들/VV
77,얼른/MAG 버스__02/NNG 에/JKB 오르/VV
78,술집/NNG 에/JKB 자주/MAG 가/VV
79,강물/NNG 속__01/NNG 에/JKB 당신/NP 내/NP 떠가/VV
80,어디/NP 에/JKB 가/VV
81,얼마/NNG 전__08/NNG 고향__02/NNG 에/JKB 다녀오/VV
82,물품/NNG 중국/NNP 음식/NNG 에/JKB 필수__02/NNG 들어가__01/VV 숙주나물/NNG
83,반야원/NNP 에/JKB 가/VV
84,다시/MAG 밖/NNG 에/JKB 나가/VV
85,아마/MAG 목적지/NNG 에/JKB 다다르/VV 모양__02/NNG
86,그래서/MAJ 경화/NNP 단도직입/NNG 본론/NNG 에/JKB 들어가__01/VV
87,공원__03/NNG 에/JKB 가/VV
88,아이__01/NNG 남편__01/NNG 눈__01/NNG 에/JKB 들어오/VV
89,주머니/NNG 에/JKB 주민/NNG 등록증/NNG 있/VV
90,저녁/NNG 차__06/NNG 대구/NNP 에/JKB 가/VV
91,마을__01/NNG 어귀__01/NNG 에/JKB 이르__01/VV
92,재수__01/NNG 본교__01/NNG 에/JKB 오/VV
93,아이__01/NNG 혜미/NNP 집__01/NNG 에/JKB 가/VV
94,나/NP 아이__01/NNG 집__01/NNG 에/JKB 가/VV
95,언니/NNG 나무__01/NNG 에/JKB 올라가/VV
96,서부극/NNG 상영__01/NNG 극장/NNG 에/JKB 가/VV
97,그/NP 유리창/NNG 에/JKB 바짝/MAG 다가서/VV
98,가르시아/NNP 열차__02/NNG 에/JKB 오르/VV
99,손__02/NNG 방__07/NNG 에/JKB 가/VV
100,마침내/MAG 땅/NNG 에/JKB 떨어지/VV
101,한상철/NNP 번역/NNG 무대__06/NNG 에/JKB 올리__01/VV
102,아내__01/NNG 책장__02/NNG 에/JKB 꽂/VV 것/NNB
103,차돌이/NNP 엄마/NNG 저고리__01/NNG 에/JKB 얼굴/NNG 기대__01/VV
104,고향__02/NNG 들__01/NNG 녘/NNB 식탁/NNG 에/JKB 봄/NNG 나물__01/NNG 올리__01/VV
105,마침내/MAG 그/NP 나/NP 풀밭/NNG 위__01/NNG 에/JKB 내팽개치/VV
106,사랑방/NNG 에/JKB 나가/VV
107,속셈/NNG 학원__02/NNG 에/JKB 보내/VV
108,나/NP 방__07/NNG 에/JKB 들어가__01/VV
109,그럼/MAJ 애__02/NNG 집__01/NNG 에/JKB 한번/NNG 가/VV
110,괜히/MAG 이곳/NP 에/JKB 오/VV
111,수창이/NNP 말없이/MAG 신문__10/NNG 탁자__01/NNG 위__01/NNG 에/JKB 던지/VV
112,그러다가/MAJ 대학__01/NNG 에/JKB 들어오/VV 훨씬/MAG 자유__03/NNG
113,이윽고/MAG 차__06/NNG 호텔/NNG 앞/NNG 에/JKB 닿/VV
114,마침내/MAG 그/NP 상자__10/NNG 에/JKB 푹/MAG 거꾸러지/VV
115,시골/NNG 에/JKB 가/VV
116,나/NP 술잔/NNG 탁자__01/NNG 에/JKB 올려놓/VV
117,내일/NNG 그만/MAG 경성/NNP 에/JKB 가/VV
118,아래층/NNG 시멘트/NNG 바닥__01/NNG 에/JKB 창길/NNP 내동댕이치/VV
119,일행__01/NNG 마침내/MAG 절벽/NNG 끝/NNG 에/JKB 이르__01/VV
120,자세__02/NNG 작가__01/NNG 탐방/NNG 에/JKB 들어가__01/VV
121,저/NP 그/NP 어깨__01/NNG 에/JKB 이마__01/NNG 대__01/VV
122,중년__01/NNG 사내__01/NNG 호주머니/NNG 에/JKB 손__01/NNG 찌르/VV
123,아기__01/NNG 연탄__03/NNG 언덕길/NNG 에/JKB 내려놓/VV
124,그럼/MAJ 서대문/NNP 에/JKB 가/VV
125,투표장/NNG 에/JKB 들어가__01/VV
126,누구/NP 사람/NNG 크로스/NNG 에/JKB 가/VV
127,그래서/MAJ 나/NP 너/NP 제자리/NNG 에/JKB 뉘__01/VV
128,어제/MAG 도시__03/NNG 에/JKB 오/VV
129,집__01/NNG 에/JKB 돌아오/VV 언필칭이/MAG 원고__03/NNG 타령__01/NNG
130,모스크바/NNP 기차__01/NNG 레닌그라드/NNP 에/JKB 내리/VV
131,영국/NNP 에/JKB 가/VV
132,나/NP 공장__02/NNG 에/JKB 팔리/VV
133,다리__01/NNG 방바닥/NNG 에/JKB 쿵쿵/MAG 드놓__01/VV
134,나/NP 올해/NNG 대학__01/NNG 에/JKB 꼭__03/MAG 들어가__01/VV
135,너트/NNG 황산마그네슘/NNG 용액/NNG 병__05/NNG 에/JKB 하나/NR 넣/VV
136,그러면/MAJ 벌__03/NNG 마리/NNB 손__01/NNG 에/JKB 올라앉/VV
137,춘기/NNP 총학생회/NNG 에/JKB 부치__02/VV
138,짝귀/NNP 단상__03/NNG 에/JKB 오르/VV 연설__02/NNG
