Number,Sentence
1,아저씨/NNG 눈물__01/NNG 달빛/NNG 에/JKB 방울방울/NNG 보이__01/VV
2,초겨울/NNG 바람__01/NNG 에/JKB 날리__01/VV
3,손등__01/NNG 가시__01/NNG 에/JKB 긁히/VV
4,밑실/NNG 반달__01/NNG 에/JKB 감기__02/VV 때__01/NNG
5,사람/NNG 들것/NNG 에/JKB 부인__04/NNG 싣/VV
6,그/NP 품__01/NNG 에/JKB 안기__01/VV 채__09/NNB
7,그러나/MAJ 적막__01/NNG 에/JKB 서리__01/VV 고뇌/NNG
8,황산/NNG 질산/NNG 수산화칼륨/NNG 에/JKB 녹/VV
9,말__05/NNG 에/JKB 짓밟히/VV 부상__05/NNG 때문/NNB
10,입김/NNG 에/JKB 모빌/NNG 제법/MAG 움직이/VV
11,나/NP 뭐/NP 에/JKB 씌__01/VV
12,랍스터/NNG 에/JKB 찔리/VV
13,그/NP 망연자실/NNG 도깨비/NNG 에/JKB 홀리/VV 듯/NNB
14,등__05/NNB 금세/MAG 땀__01/NNG 에/JKB 젖__01/VV
15,플루오르화수소/NNG 에/JKB 의하/VV 분해/NNG
16,그/NP 뒷모습/NNG 금방/MAG 어둠/NNG 에/JKB 묻히__02/VV
17,서쪽/NNG 바다/NNG 비__01/NNG 에/JKB 젖__01/VV
18,불빛/NNG 에/JKB 살펴보/VV 태봉/NNP
19,제선왕/NNP 맹자/NNP 말__01/NNG 에/JKB 말려들/VV
20,베일/NNG 에/JKB 쌓이/VV 바이롬사/NNP
21,온몸/NNG 금세/MAG 비__01/NNG 에/JKB 젖__01/VV
22,채석장/NNG 일__01/NNG 돌__02/NNG 에/JKB 짓찌/VV
23,덫/NNG 에/JKB 앞발/NNG 찧기/VV 것/NNB
24,번데기__01/NNG 핏물/NNG 에/JKB 잠기__02/VV
25,그럼/MAJ 불__01/NNG 에/JKB 태우__01/VV
26,주위__02/NNG 완전히/MAG 어둠/NNG 에/JKB 묻히__02/VV
27,현대/NNG 사회__07/NNG 공해__01/NNG 스트레스/NNG 에/JKB 휩싸이/VV
28,비누/NNG 방울__01/NNG 에/JKB 반사__01/NNG 무지개/NNG 만들/VV 햇살/NNG
29,이/NP 모두/MAG 투표__01/NNG 에/JKB 의하/VV 선출__02/NNG
30,양념장/NNG 에/JKB 무치/VV
31,감자__01/NNG 감자__01/NNG 신문지/NNG 에/JKB 싸__01/VV 보관__01/NNG
32,바람__01/NNG 에/JKB 찢기__01/VV
33,나/NP 초대장/NNG 명령__01/NNG 에/JKB 휘둘리/VV
34,책__01/NNG 다/MAG 불__01/NNG 에/JKB 태우__01/VV
35,미국/NNP 대통령/NNG 케네디/NNP 총__03/NNG 에/JKB 맞__03/VV
36,그러면/MAJ 바퀴__01/NNG 에/JKB 콱/MAG 치이__03/VV
37,먹구름/NNG 에/JKB 싸이__01/VV 물욕__02/NNG 폐허__02/NNG
38,손__01/NNG 에/JKB 붙잡히/VV
39,장면__04/NNG 카메라/NNG 에/JKB 잡히__02/VV
40,개__03/NNG 덫/NNG 에/JKB 찡기/VV
41,그녀/NP 가슴__01/NNG 바늘/NNG 에/JKB 찔리/VV 느낌/NNG
42,밤새__02/NNG 당신/NP 꿈__01/NNG 에/JKB 시달리/VV
43,나/NP 총__03/NNG 에/JKB 맞__03/VV 거/NNB
44,새롬이/NNP 산딸기/NNG 풀__02/NNG 줄기__01/NNG 에/JKB 꿰/VV
45,그것/NP 벌써/MAG 땀__01/NNG 에/JKB 젖__01/VV
46,그것/NP 보자기__02/NNG 에/JKB 싸__01/VV
47,양초__01/NNG 에/JKB 불__01/NNG 붙이/VV
48,칼__01/NNG 에/JKB 베__02/VV
49,그녀/NP 맛__01/NNG 에/JKB 살__01/VV
50,바람결/NNG 에/JKB 꽃향내/NNG 날아오/VV
51,낙엽/NNG 불길/NNG 에/JKB 사그러들/VV 냄새/NNG 때문/NNB
52,대신__03/NNG 러이/NNP 징__02/NNG 손__01/NNG 에/JKB 잡__01/VV
53,발__01/NNG 때문/NNB 에/JKB 지우__01/VV 출발선/NNG
54,그리고/MAJ 금속__01/NNG 버클/NNG 부분__01/NNG 오른손/NNG 에/JKB 힘껏/MAG 쥐__01/VV
55,비닐/NNG 봉투__02/NNG 지퍼백/NNG 등__05/NNB 에/JKB 넣/VV 냉동/NNG
56,동네/NNG 매향__02/NNG 에/JKB 휩싸이/VV
57,우리/NP 몸__01/NNG 소금__01/NNG 에/JKB 녹슬/VV
58,그/NP 향기__01/NNG 에/JKB 취하__03/VV
59,비난/NNG 에/JKB 시달리/VV
60,웃음/NNG 두려워하/VV 자__18/NNB 손__01/NNG 에/JKB 말__01/NNG
61,총__03/NNG 에/JKB 맞__03/VV 것/NNB
62,곰이/NNP 아저씨/NNG 손__01/NNG 양손__01/NNG 에/JKB 잡__01/VV
63,산채__01/NNG 들기름/NNG 에/JKB 무치/VV 가지/NNB 나물__01/NNG 반찬/NNG
64,두환/NNP 총__03/NNG 에/JKB 맞__03/VV
65,그것/NP 무엇/NP 에/JKB 쓰__03/VV
66,그래서/MAJ 그/NP 절대/MAG 말__01/NNG 에/JKB 넘어가__01/VV
67,새끼__02/NNG 엄살__01/NNG 에/JKB 넘어가__01/VV
68,화학__01/NNG 농법__02/NNG 에/JKB 다/MAG 죽__01/VV
69,총__03/NNG 에/JKB 맞__03/VV
