Number,Sentence
1,병식이/NNP 형__01/NNG 집__01/NNG 에/JKB 돌아오/VV
2,길가/NNG 에/JKB 집__01/NNG 나란히/MAG 서/VV
3,세상__01/NNG 에/JKB 미친놈/NNG 다/MAG 있/VV
4,보주성/NNP 거란/NNP 압록강/NNP 동쪽/NNG 연안__02/NNG 에/JKB 쌓/VV 성__08/NNG
5,마침/MAG 총무/NNG 사무실/NNG 에/JKB 남/VV
6,거실__02/NNG 에/JKB 불__01/NNG 켜__01/VV
7,눈__01/NNG 에/JKB 눈물__01/NNG 핑__01/MAG 돌/VV
8,섬__03/NNG 에/JKB 것/NNB 없/VA
9,환전소/NNG 앞/NNG 에/JKB 예의__00/NNG 암달러/NNG 상__x28/NNG 들러붙/VV
10,그리고/MAJ 클럽/NNG 옆/NNG 에/JKB 만식/NNP 쓰러지/VV
11,선창__06/NNG 밖/NNG 에/JKB 눈__04/NNG 내리/VV
12,개울/NNG 옆/NNG 언덕/NNG 밑__01/NNG 에/JKB 샘물/NNG 졸졸졸/MAG 흐르__01/VV
13,어디/NP 에/JKB 땅/NNG 나/VV
14,옥점/NNP 코밑/NNG 에/JKB 땀방울/NNG 방울방울/NNG 맺히/VV
15,혹시__01/MAG 집__01/NNG 새터/NNP 에/JKB 있/VV
16,이제/MAG 세상__01/NNG 에/JKB 당신/NP 집__01/NNG 없/VA
17,그곳/NP 에/JKB 꽃__01/NNG 피__01/VV
18,그녀/NP 이마__01/NNG 에/JKB 땀__01/NNG 송골송골/MAG 맺히/VV
19,방__07/NNG 안__01/NNG 에/JKB 열기__07/NNG 긴장감/NNG 감돌/VV
20,요즘/NNG 이놈/NP 공장__02/NNG 에/JKB 일__01/NNG 별로/MAG 없/VA
21,우리/NP 동네/NNG 앞길__01/NNG 에/JKB 택시/NNG 정류장/NNG 하나/NR 있/VV
22,이마__01/NNG 에/JKB 땀__01/NNG 솟구치/VV
23,남산/NNP 꼭대기/NNG 에/JKB 횃불/NNG 빤히/MAG 비치__01/VV
24,환전소/NNG 앞/NNG 에/JKB 예__08/NNG 암달러상/NNG 들러붙/VV
25,눈__01/NNG 앞/NNG 에/JKB 소년/NNG 서/VV
26,학문__02/NNG 세계__02/NNG 에/JKB 것/NNB 없/VA
27,오푼돌이/NNP 아저씨/NNG 곰__03/NNG 곁/NNG 에/JKB 나란히/MAG 앉/VV
28,아빠/NNG 얼굴/NNG 에/JKB 웃음/NNG 떠오르/VV
29,어디/NP 에/JKB 집__01/NNG 나/VV
30,터__01/NNG 에/JKB 복__13/NNG 붙/VV
31,본인/NNG 지금__03/MAG 집__01/NNG 에/JKB 없/VA
32,날__01/NNG 동네/NNG 에/JKB 땅/NNG 하나/NR 들어오/VV
33,길__01/NNG 에/JKB 가을__01/NNG 오/VV
34,소녀__02/NNG 오른쪽/NNG 무릎/NNG 에/JKB 핏방울/NNG 맺히/VV
