Number,Sentence
1,병식이/NNP 형__01/NNG 이/JKS 집__01/NNG 에/JKB 돌아오/VV 아/EC 있/VX 었/EP 으니까/EF ./SF
2,길가/NNG 에/JKB 두/MM 집__01/NNG 이/JKS 나란히/MAG 서/VV 어/EC 있/VX 었/EP 습니다/EF ./SF
3,세상__01/NNG 에/JKB 별/MM 미친놈/NNG 이/JKS 다/MAG 있/VV 군/EF ./SF
4,보주성/NNP 거란/NNP 이/JKS 압록강/NNP 동쪽/NNG 연안__02/NNG 에/JKB 쌓/VV 은/ETM 성__08/NNG ./SF
5,마침/MAG 총무/NNG 님/XSN 이/JKS 사무실/NNG 에/JKB 남/VV 아/EC 있/VX 었/EP 다/EF ./SF
6,거실__02/NNG 에/JKB 불__01/NNG 이/JKS 켜__01/VV 어/EC 지/VX 어/EC 있/VX 었/EP 다/EF ./SF
7,눈__01/NNG 에/JKB 눈물__01/NNG 이/JKS 핑__01/MAG 돌/VV 았/EP 다/EF ./SF
8,이__05/MM 섬__03/NNG 에/JKB 는/JX 그런/MM 것/NNB 이/JKS 없/VA 어요/EF ./SF
9,환전소/NNG 앞/NNG 에/JKB 는/JX 예의__00/NNG 암달러/NNG 상__x28/NNG 이/JKS 들러붙/VV 는다/EF ./SF
10,그리고/MAJ 클럽/NNG 옆/NNG 에/JKB 는/JX 만식/NNP 이/JKS 쓰러지/VV 어/EC 있/VX 다/EF ./SF
11,선창__06/NNG 밖/NNG 에/JKB 눈__04/NNG 이/JKS 내리/VV 고/EC 있/VX 었/EP 다/EF ./SF
12,개울/NNG 옆/NNG 언덕/NNG 밑__01/NNG 에/JKB 샘물/NNG 이/JKS 졸졸졸/MAG 흐르__01/VV 었/EP 습니다/EF ./SF
13,어디/NP 에/JKB 땅/NNG 이/JKS 나/VV 았/EP 대요/EF ./SF
14,옥점/NNP 의/JKG 코밑/NNG 에/JKB 땀방울/NNG 이/JKS 방울방울/NNG 맺히/VV 었/EP 다/EF ./SF
15,혹시__01/MAG 그/MM 집__01/NNG 이/JKS 새터/NNP 에/JKB 있/VV 지/EC 않/VX 았/EP 나요/EF ?/SF
16,이제/MAG 세상__01/NNG 에/JKB 는/JX 당신/NP 의/JKG 집__01/NNG 이/JKS 없/VA 다/EF ./SF
17,그곳/NP 에/JKB 저/MM 꽃__01/NNG 이/JKS 피__01/VV 어/EC 있/VX 더구나/EF ./SF
18,그녀/NP 의/JKG 이마__01/NNG 에/JKB 땀__01/NNG 이/JKS 송골송골/MAG 맺히/VV 었/EP 다/EF ./SF
19,방__07/NNG 안__01/NNG 에/JKB 열기__07/NNG 와/JC 긴장감/NNG 이/JKS 감돌/VV 았/EP 다/EF ./SF
20,"/SS 요즘/NNG 이놈/NP 의/JKG 공장__02/NNG 에/JKB 일__01/NNG 도/JX 별로/MAG 없/VA 어/EF ./SF
21,우리/NP 동네/NNG 앞길__01/NNG 에/JKB 택시/NNG 정류장/NNG 이/JKS 하나/NR 있/VV 다/EF ./SF
22,이마__01/NNG 에/JKB 땀__01/NNG 이/JKS 솟구치/VV 어/EC 있/VX 었/EP 다/EF ./SF
23,남산/NNP 꼭대기/NNG 에/JKB 횃불/NNG 이/JKS 빤히/MAG 비치__01/VV 었/EP 다/EF ./SF
24,환전소/NNG 앞/NNG 에/JKB 는/JX 예__08/NNG 의/JKG 암달러상/NNG 이/JKS 들러붙/VV 는다/EF ./SF
25,눈__01/NNG 앞/NNG 에/JKB 한/MM 소년/NNG 이/JKS 서/VV 어/EC 있/VX 었/EP 다/EF ./SF
26,학문__02/NNG 의/JKG 세계__02/NNG 에/JKB 는/JX 그런/MM 것/NNB 이/JKS 없/VA 다/EF ./SF
27,오푼돌이/NNP 아저씨/NNG 는/JX 곰__03/NNG 이/JKS 곁/NNG 에/JKB 나란히/MAG 앉/VV 았/EP 습니다/EF ./SF
28,아빠/NNG 얼굴/NNG 에/JKB 웃음/NNG 이/JKS 떠오르/VV 았/EP 습니다/EF ./SF
29,어디/NP 에/JKB 집__01/NNG 이/JKS 나/VV 았/EP 어요/EF ./SF
30,그/MM 터__01/NNG 에/JKB 복__13/NNG 이/JKS 붙/VV 었/EP 나/EC 부/VX 지/EF ./SF "/SS
