Number,Sentence
1,그때/NNG 저편/NP 에서/JKB 회중전등/NNG 번쩍__01/MAG 이리로/MAG 오/VV
2,마술__02/NNG 가방__01/NNG 에서/JKB 이번__01/NNG 티셔츠/NNG 수건/NNG 나오/VV
3,그것/NP 가슴벽/NNG 등줄기/NNG 머리__01/NNG 끝/NNG 에서/JKB 전율__02/NNG 변하/VV
4,중앙당/NNG 에서/JKB 나오/VV
5,진화__05/NNG 성질/NNG 양__20/NNG 변화/NNG 에서/JKB 질__08/NNG 변화/NNG 변하/VV
6,드디어/MAG 대장__04/NNG 새__03/NNG 입/NNG 에서/JKB 명령__01/NNG 떨어지/VV
7,사람/NNG 호텔/NNG 에서/JKB 떨어지/VV
8,작가__01/NNG 선생__01/NNG 의자__03/NNG 에서/JKB 일어서/VV
9,머리__01/NNG 에서/JKB 물방울/NNG 뚝뚝__01/MAG 떨어지/VV
10,호길/NNP 코__01/NNG 에서/JKB 모락모락/MAG 김__01/NNG 솟아나/VV
11,안도__02/NNG 한숨__02/NNG 그녀/NP 입/NNG 에서/JKB 흘러나오/VV
12,그때/NNG 윤재홍/NNP 사장실/NNG 에서/JKB 나오/VV
13,바람__01/NNG 서북쪽/NNG 에서/JKB 불어오/VV
14,그때/NNG 그/NP 눈__01/NNG 에서/JKB 눈물__01/NNG 술술/MAG 흘러내리/VV
15,영숙/NNP 자리__01/NNG 에서/JKB 일어서/VV
16,화장실/NNG 바닥__01/NNG 배수구__01/NNG 에서/JKB 물__01/NNG 다시/MAG 올라오/VV
17,온몸/NNG 에서/JKB 기운__01/NNG 쭉/MAG 빠져나가/VV
18,개__03/NNG 팔자__01/NNG 상팔자/NNG 속담/NNG 갑자기/MAG 그/NP 머릿속/NNG 에서/JKB 튀어나오/VV
19,식은땀/NNG 온몸/NNG 에서/JKB 축축이/MAG 흘러내리/VV
20,여기/NP 에서/JKB 문명병/NNG 하나/NR 괴상__04/NNG 병__04/NNG 생겨나/VV
21,그때/NNG 안__01/NNG 에서/JKB 덕호/NNP 음성__02/NNG 흘러나오/VV
22,눈__01/NNG 에서/JKB 자꾸/MAG 눈물__01/NNG 흘러내리/VV
23,낭떠러지/NNG 위__01/NNG 에서/JKB 집__01/NNG 안마당/NNG 곧장/MAG 내려다보이/VV
24,동굴/NNG 안__01/NNG 에서/JKB 대답/NNG 대신__03/NNG 발__09/NNB 총성/NNG 튀어나오/VV
25,주름__01/NNG 사이사이/NNG 에서/JKB 생각__01/NNG 생각__01/NNG 튀어나오/VV
26,그녀/NP 발끝/NNG 바닥__01/NNG 에서/JKB 떨어지/VV
27,나/NP 입/NNG 에서/JKB 거짓말/NNG 자연__01/NNG 나오/VV
28,교장__03/NNG 입/NNG 에서/JKB 느닷없이/MAG 고함__01/NNG 터지/VV
29,웃음/NNG 숲__01/NNG 속__01/NNG 에서/JKB 불어오/VV 바람__01/NNG
30,초소/NNG 에서/JKB 조명탄/NNG 다시/MAG 오르/VV
31,여자__02/NNG 입/NNG 에서/JKB 아주/MAG 한국말/NNG 튀어나오/VV
32,자연미/NNG 결함__01/NNG 에서/JKB 예술미/NNG 필연__01/NNG 나오/VV
33,공터/NNG 끄트머리/NNG 에서/JKB 길__01/NNG 갈래/NNG 뻗치/VV
34,그녀/NP 눈__01/NNG 에서/JKB 눈물__01/NNG 흘러내리/VV 시작__01/NNG
35,행정실/NNG 쪽__05/NNB 에서/JKB 비상종/NNG 난타__01/NNG 소리__01/NNG 들리__03/VV
36,경지/NNP 온몸/NNG 에서/JKB 기운__01/NNG 죽/MAG 빠져나가/VV
37,금방/MAG 눈__01/NNG 에서/JKB 눈물__01/NNG 흘러내리/VV
38,오혜정/NNP 먼저/MAG 자리__01/NNG 에서/JKB 일어서/VV
39,이리하여/MAJ 과천/NNP 지역__03/NNG 율진군/NNP 에서/JKB 과주/NNP 명칭__02/NNG 바뀌/VV
40,명/NNB 입/NNG 에서/JKB 대답/NNG 나오/VV
41,조국/NNP 종이봉투/NNG 에서/JKB 부스럭부스럭/MAG 소주__05/NNG 북어/NNG 꺼내/VV
42,그때/NNG 동수/NNP 눈__01/NNG 에서/JKB 찔끔__01/MAG 눈물__01/NNG 방울__01/NNG 떨어지/VV
43,가슴속/NNG 에서/JKB 배신감/NNG 감정__06/NNG 울컥/MAG 치솟/VV
44,신음__01/NNG 그/NP 입/NNG 에서/JKB 흘러나오/VV
45,가족__01/NNG 어둠/NNG 함께/MAG 욕망/NNG 전쟁터/NNG 에서/JKB 돌아오/VV
46,이번__01/NNG 안개섬/NNP 쪽__05/NNB 에서/JKB 천둥/NNG 울__01/VV
47,미리/MAG 벌떡/MAG 자리__01/NNG 에서/JKB 일어나/VV
48,옥점이/NNP 책상__01/NNG 빼랍/NNG 에서/JKB 초콜릿/NNG 곽__02/NNG 내놓/VV
49,스키/NNG 부상__05/NNG 남__01/NNG 충돌/NNG 에서/JKB 생기/VV 것/NNB 대부분/NNG
50,수도__09/NNG 대부분/NNG 팔당호/NNP 에서/JKB 많이/MAG 오/VV
51,다음__01/NNG 날__01/NNG 시골/NNG 에서/JKB 할아버지/NNG 올라오/VV
52,멀리/MAG 마을__01/NNG 쪽__05/NNB 에서/JKB 종소리/NNG 땡/MAG 땡/MAG 땡/MAG 들리__04/VV
53,절규/NNG 에서/JKB 발생/NNG 보__01/VV 것/NNB
54,배/NNP 선생__01/NNG 의자__03/NNG 에서/JKB 몸__01/NNG 일으키/VV
55,권위주의/NNG 사회__07/NNG 에서/JKB 기능주의/NNG 사회__07/NNG 세상__01/NNG 옮기/VV
56,실의__01/NNG 에서/JKB 구원__05/NNG 새롭/VA 종교/NNG 갈구__02/NNG
57,아이__01/NNG 운명__01/NNG 에서/JKB 우리/NP 그것/NP 느끼__02/VV
58,역시/MAG 살__01/VV 욕심/NNG 에서/JKB 행위/NNG 때문/NNB
59,내/NP 소설__03/NNG 에서/JKB 얻/VV 것/NNB 주인공/NNG 이력서/NNG
60,청주/NNP 정신__12/NNG 병원__02/NNG 에서/JKB 전동__88/NNG 오/VV 환자__03/NNG
61,불꽃놀이/NNG 나라/NNG 에서/JKB 우주__02/NNG 비행사/NNG 날아오/VV
62,여러분/NP 모습__01/NNG 에서/JKB 우리/NP 학형/NNG 보__01/VV
63,효철/NNP 소파__06/NNG 에서/JKB 상체__01/NNG 일으키/VV
64,나/NP 사무실/NNG 에서/JKB 나오/VV
65,박성훈/NNP 씨/NNB 근무/NNG 건설/NNG 회사__04/NNG 에서/JKB 오/VV
66,천안/NNP 아라리오/NNP 광장/NNG 에서/JKB 노랫소리/NNG 들리__03/VV 것/NNB
67,천장__02/NNG 에서/JKB 나/VV 소리__01/NNG 계속__04/NNG
68,이것/NP 학교/NNG 교사__09/NNG 입/NNG 에서/JKB 나오/VV 소리__01/NNG
69,아래__01/NNG 에서/JKB 위__01/NNG 향하/VV 것/NNB 그것/NP 것/NNB
70,언덕/NNG 에서/JKB 산__01/NNG 쪽__05/NNB 외줄기/NNG 길__01/NNG 하나/NR 나/VV
71,어미__01/NNG 벌__03/NNG 센티미터/NNG 가량/NNB 그곳/NP 에서/JKB 떨어지/VV 뿐/NNB
72,탈곡/NNG 곡식/NNG 이삭/NNG 에서/JKB 낟알/NNG 떨/VV 일__01/NNG
73,그리고/MAJ 칸__01/NNG 진영__02/NNG 에서/JKB 각각/MAG 명/NNB 들어가__01/VV
74,구름__01/NNG 폴란드/NNP 평야/NNG 에서/JKB 오/VV
75,집__01/NNG 에서/JKB 사람/NNG 몇/NR 뛰어나오/VV
76,동경대학/NNP 조도전대학/NNP 도서관/NNG 에서/JKB 매일/NNG 보내/VV
77,하나/NR 에서/JKB 열/NR 자기/NP 검열__01/NNG 받__01/VV 거/NNB
78,이/NP 지배__01/NNG 계급__02/NNG 하층/NNG 에서/JKB 분화__01/NNG 나오/VV 계층/NNG
79,나이__01/NNG 에서/JKB 오/VV 수나/NNG 터/NNB
80,태양__02/NNG 복사__11/NNG 에너지/NNG 태양__02/NNG 에서/JKB 내놓/VV 에너지/NNG
81,그/NP 역시/MAG 부두__01/NNG 에서/JKB 돌아오/VV 모양__02/NNG
82,언니/NNG 은주/NNP 씨/NNB 다음날/NNG 오전__02/NNG 목포/NNP 에서/JKB 돌아오/VV 것/NNB
83,그러나/MAJ 배삼룡/NNP 분장__05/NNG 하이라이트/NNG 실수__01/NNG 에서/JKB 나오/VV
84,이것/NP 다음__01/NNG 같/VA 원리__02/NNG 에서/JKB 가능/NNG
85,상품__03/NNG 분배/NNG 에서/JKB 수장__15/NNG 역할/NNG 하/VV
86,그/NP 환경__02/NNG 운동__02/NNG 단체__02/NNG 에서/JKB 오/VV
