Number,Sentence
1,기억/NNG 스스로/NNG 부력__01/NNG (으)로/JKB 떠오르/VV
2,그리고/MAJ 결과__02/NNG (으)로/JKB 오줌/NNG 나오/VV
3,온몸/NNG 땀__01/NNG (으)로/JKB 흠뻑/MAG 젖__01/VV
4,가동__07/NNG 증가__01/NNG (으)로/JKB 구미공단/NNP 근로자/NNG 되돌아오/VV
5,통령/NNG 정부__08/NNG 프랑스/NNP 혁명/NNG 때__01/NNG 나폴레옹/NNP 쿠데타/NNG (으)로/JKB 세우__01/VV 정부__08/NNG
6,장마__01/NNG (으)로/JKB 냇물/NNG 강물/NNG 출렁출렁/MAG 넘쳐흐르/VV
7,고속도로/NNG 변__09/NNG 쓰레기/NNG (으)로/JKB 몸살__01/NNG 앓/VV
8,거리__01/NNG 오토바이/NNG 자동차/NNG 그리고/MAJ 인파/NNG (으)로/JKB 정신__12/NNG 없/VA
9,피서객/NNG (으)로/JKB 전국__03/NNG 붐비/VV 월/NNB
10,온몸/NNG 땀__01/NNG (으)로/JKB 젖__01/VV
11,유기질/NNG 비료/NNG 공장__02/NNG 문제__06/NNG (으)로/JKB 정신__12/NNG 없/VA
12,말__01/NNG (으)로/JKB 여가__03/NNG 끝나/VV
13,우즈/NNP 복귀/NNG 첫날/NNG 짙/VA 안개/NNG (으)로/JKB 경기__11/NNG 중단__04/NNG
14,돌연/MAG 슬픔/NNG (으)로/JKB 목__01/NNG 메__02/VV
15,계속__04/NNG 불행/NNG (으)로/JKB 마을__01/NNG 온통/MAG 쑥밭/NNG 되__01/VV
16,연속__02/NNG 실책/NNG 플레이/NNG (으)로/JKB 천보성/NNP 감독__02/NNG 속__01/NNG 태우__01/VV
17,덕택/NNG (으)로/JKB 우리/NP 나라/NNG 되찾/VV 것/NNB
18,몸__01/NNG 땀__01/NNG (으)로/JKB 범벅/NNG 되__01/VV
19,따라서/MAJ 칼슘/NNG 방출__01/NNG 증가__01/NNG (으)로/JKB 골다공증/NNG 현상__04/NNG 일어나/VV
20,오늘/NNG 또/MAG 일__01/NNG (으)로/JKB 저러/VV 것/NNB
21,하늘/NNG 가리__02/VV 먹구름/NNG (으)로/JKB 사방__03/NNG
22,등산/NNG (으)로/JKB 다지/VV 왕성__02/NNG 체력/NNG 자랑/NNG
