Number,Sentence
1,집__01/NNG 다/MAG 어디/NP (으)로/JKB 가/VV
2,바로/MAG 앞/NNG (으)로/JKB 소달구지/NNG 바퀴__01/NNG 자국__01/NNG 나/VV
3,유지/NNP 얼굴/NNG 다시/MAG 용마루/NNG 위__01/NNG (으)로/JKB 나타나/VV
4,산들산들/MAG 가지__01/NNG 사이__01/NNG (으)로/JKB 바람__01/NNG 지나가/VV
5,손__01/NNG 뒤__01/NNG (으)로/JKB 가/VV
6,석양__01/NNG 정면__01/NNG (으)로/JKB 촌부__03/NNG 눈앞/NNG 가로막/VV
7,중국/NNP 원산지/NNG (으)로/JKB 지방__05/NNG 자라__01/VV
8,쇠창/NNG 밖/NNG (으)로/JKB 눈__04/NNG 펑펑__03/MAG 내리/VV
9,물결/NNG 위__01/NNG (으)로/JKB 요트/NNG 한가로이/MAG 지나가/VV
10,붉은색/NNG 복도__04/NNG 카펫/NNG 위__01/NNG (으)로/JKB 물__01/NNG 괴__01/VV
11,무대__06/NNG 위__01/NNG (으)로/JKB 꽃송이__01/NNG 날아오르/VV
12,오른쪽/NNG 차창/NNG 밖/NNG (으)로/JKB 끝없이/MAG 이어지/VV 바다/NNG
13,철장__04/NNG 사이__01/NNG (으)로/JKB 쳐다보/VV 형제__01/NNG 아픔/NNG
14,대한극장/NNP 옆/NNG 다방__02/NNG 만나/VV (으)로/JKB 것/NNB
15,그분/NP 나/NP 문예반/NNG (으)로/JKB 끌어들이/VV
16,그리고/MAJ 이따/MAG 밤__01/NNG 석기/NNP (으)로/JKB 데려오/VV
17,달가닥달가닥/MAG 쇠바퀴/NNP 소라__02/NNG 껍데기/NNG 위__01/NNG (으)로/JKB 지나가/VV
18,어디/NP (으)로/JKB 숨__01/VV 것/NNB
19,우리/NP 모두/MAG 경기도/NNP 화성군/NNP 남양면/NNP 활초리/NNP 홍난파/NNP 앞/NNG (으)로/JKB 편지__02/NNG 보내/VV
20,세상__01/NNG 끝/NNG 이리__04/MAG (으)로/JKB 모두/MAG 모이/VV
21,들창/NNG 너머/NNG (으)로/JKB 포플러나무/NNG 끝/NNG 보이__01/VV
22,나/NP 가로수/NNG 뒤__01/NNG (으)로/JKB 몸__01/NNG 숨기/VV
23,사이__01/NNG (으)로/JKB 둘/NR 마치/MAG 도둑고양이/NNG 나아가/VV
24,시멘트/NNG 담벼락/NNG 너머/NNG (으)로/JKB 마루__03/NNG 집안__01/NNG 들여다보이/VV
25,성벽__02/NNG 길__01/NNG 건너__01/NNG (으)로/JKB 다시/MAG 이어지/VV
26,엉덩이/NNG 허벅지/NNG 오금__01/NNG (으)로/JKB 흘러내리/VV
