Number,Sentence
1,대충/MAG 반응/NNG 하루__01/NNG 에/JKB 번/NNB 지나가/VV
2,오히려/MAG 이번__01/NNG 에/JKB 진구/NNP 말문__01/NNG 막히/VV
3,한참/NNG 뒤__01/NNG 에/JKB 당숙/NNG 말__01/NNG 잇__01/VV
4,왕년/NNG 에/JKB 다/MAG 산천/NNG 떠르르/MAG 하/VV
5,전__08/NNG 에/JKB 교통__01/NNG 불편__01/NNG 좋/VA
6,만찬/NNG 시/NNB 에/JKB 반주__08/NNG 마주앙/NNG 나오/VV
7,잠시/MAG 후__08/NNG 에/JKB 술상/NNG 나오/VV
8,조금__01/NNG 후__07/NNG 에/JKB 개울/NNG 나타나/VV
9,이전__03/NNG 에/JKB 개념/NNG 없/VA
10,정식이/NNP 처음/NNG 에/JKB 신__02/NNG 나/VV
11,뉴스/NNG 시간__04/NNG 에/JKB 모교__01/NNG 선생__01/NNG 나오/VV
12,밖/NNG 에/JKB 계획__01/NNG 없/VA
13,금시/NNG 에/JKB 물__01/NNG 자__01/NNB 줄/VV
14,이/NP 에/JKB 비하/VV 김병익/NNP 독법/NNG
15,생각__01/NNG 즉시/NNG 에/JKB 머릿속/NNG 들어오/VV
16,아침/NNG 에/JKB 눈__04/NNG 오/VV
17,핀란드/NNP 헬싱키/NNP 에/JKB 비하/VV 너무/MAG
18,새끼손가락/NNG 경우__03/NNG 에/JKB 냉증/NNG 오/VV
19,이번__01/NNG 에/JKB 계장__03/NNG 끼어들/VV
20,한참/NNG 뒤__01/NNG 에/JKB 관리소장/NNG 나타나/VV
21,이번__01/NNG 에/JKB 흙덩이/NNG 말문__01/NNG 막히/VV
22,한참/NNG 만__01/NNB 에/JKB 연출__02/NNG 입/NNG 열__02/VV
23,우선/MAG 밤__01/NNG 에/JKB 수업__04/NNG 없/VA
24,그/NP 에/JKB 비하/VV 저/NP 아무것/NNG
25,교도__05/NNG 주임__01/NNG 중간__01/NNG 에/JKB 끼어들/VV
26,그/NP 에/JKB 비하/VV 아버지/NNG
27,결국/NNG 에/JKB 어둠/NNG 남/VV
28,지__02/NNB 달__05/NNG 뒤__01/NNG 에/JKB 입덧/NNG 나/VV
29,이/NP 에/JKB 비하/VV 소설__03/NNG
30,콘크리트/NNG 청부인/NNG 이번__01/NNG 에/JKB 나서/VV
31,회의__04/NNG 참석/NNG 인원/NNG 거의/MAG 명/NNB 에/JKB 가깝/VA
32,자카르타/NNP 에/JKB 비하/VV 시골/NNG
33,동생__01/NNG 하루__01/NNG 에/JKB 번/NNB 오/VV
34,시대__02/NNG 에/JKB 대하__02/VV 약속/NNG
35,밤__01/NNG 에/JKB 토옹/MAG 잠__01/NNG 오/VV
36,때__01/NNG 에/JKB 갑동이/NNP 문득/MAG 생각__01/NNG 나/VV
37,제생__01/NNG 다음__01/NNG 에/JKB 따르__01/VV
38,오후__02/NNG 에/JKB 후드득/MAG 빗방울/NNG 떨어지/VV
39,어느새/MAG 에/JKB 싸락눈/NNG 바슬바슬/MAG 떨어지/VV
40,네이스트/NNP 이전__03/NNG 에/JKB 산타/NNP 수염__04/NNG 없/VA
41,그/NP 잠시/MAG 뒤__01/NNG 에/JKB 조상국/NNP 나타나/VV
42,광장/NNG 한눈__01/NNG 에/JKB 들어오/VV
43,이/NP 에/JKB 비하/VV 이기영/NNP 사자__11/NNG 레이서/NNG
44,겨울/NNG 에/JKB 잎__01/NNG 지/VV
45,여름철/NNG 에/JKB 맛__01/NNG 좋/VA
46,며칠/NNG 후__08/NNG 에/JKB 답장/NNG 오/VV
47,저녁/NNG 에/JKB 아이__01/NNG 돌아오/VV
48,이/NP 에/JKB 비하/VV 리스프/NNG 절차__02/NNG 언어__01/NNG
49,체육/NNG 시간__04/NNG 에/JKB 일/NR 신__02/NNG 나/VV
50,그/NP 말끝/NNG 에/JKB 웃음/NNG 묻어나/VV
51,이번__01/NNG 에/JKB 사람/NNG 가/VV
52,옛날/NNG 에/JKB 호랑이/NNG 말__01/NNG 하/VV
53,상하/NNG 에/JKB 서로/MAG 믿음/NNG 없/VA 것/NNB
54,그러나/MAJ 순간__03/NNG 에/JKB 악마__02/NNG 유혹__02/NNG 들어오/VV
55,북천가/NNP 조선/NNP 철종/NNP 때__01/NNG 에/JKB 김진형/NNP 짓__01/VV 가사__09/NNG
56,순식간/NNG 에/JKB 밥그릇/NNG 모두/MAG 동나/VV
57,그런데/MAJ 일요일/NNG 에/JKB 눈__04/NNG 오/VV
58,밤__01/NNG 에/JKB 잘/MAG 못/MAG 자__01/VV
59,해방__05/NNG 동시__02/NNG 에/JKB 아버지/NNG 귀국__02/NNG 하/VV
60,이번__01/NNG 에/JKB 안개섬/NNP 쪽__05/NNB 천둥/NNG 울__01/VV
61,다음__01/NNG 에/JKB 정말/MAG 뻬쩨르부르그/NNP 만나/VV
62,아침/NNG 에/JKB 바쁘/VA 것/NNB 엄마/NNG
63,태평/NNG 성대__06/NNG 에/JKB 아니/MAG 놀/VV 어찌/MAG
64,시간__04/NNG 에/JKB 관객/NNG 사람/NNG 없/VA
65,말__01/NNG 듣__01/VV 순간__03/NNG 에/JKB
66,하지만/MAJ 하룻새/NNG 에/JKB 사람/NNG 되__01/VV
67,지난해/NNG 에/JKB 깜짝__02/MAG 놀라/VV
68,한참/NNG 후__08/NNG 에/JKB 신철이/NNP 묻__03/VV
69,웬일/NNG 춥/VA 밤__01/NNG 에/JKB
70,번/NNB 에/JKB 원숭이/NNG 오소리/NNG 찾/VV
71,것/NNB 순식간/NNG 에/JKB 이루어지/VV
72,날__01/NNG 이미/MAG 황혼/NNG 에/JKB 가깝/VA
73,언니/NNG 아침/NNG 에/JKB 오/VV
74,상자__10/NNG 에/JKB 삼천/NR 원__01/NNB 받__01/VV
75,아주/MAG 아주/MAG 오랜만/NNG 에/JKB 느끼__02/VV 감정__06/NNG
76,때문/NNB 에/JKB 현재/MAG 한국/NNP 여성__01/NNG 법조인/NNG 젊/VA
77,하루__01/NNG 에/JKB 질__06/NNG 못/MAG 팔/VV
78,년__02/NNB 에/JKB 만들/VV
79,축__01/NNB 에/JKB 못/MAG 끼__03/VV
80,그리고/MAJ 이따/MAG 밤__01/NNG 에/JKB 석기/NNP 데려오/VV
81,그릇/NNG 깨지/VV 전__08/NNG 에/JKB
82,처음/NNG 에/JKB 들리__03/VV 소식__04/NNG
83,날__01/NNG 밤__01/NNG 에/JKB 허/NNP 별감/NNG 친히/MAG 찾아오/VV
84,작품__01/NNG 다음__01/NNG 에/JKB 보__01/VV
85,그것/NP 어젯밤/NNG 에/JKB 일어나/VV 일__01/NNG
86,식사__03/NNG 전__08/NNG 에/JKB 반드시/MAG 손__01/NNG 씻/VV
87,입/NNG 에/JKB 맞__01/VV
88,때__01/NNG 에/JKB 시간__04/NNG 영업/NNG 하/VV
89,시간__04/NNG 에/JKB 좀/MAG 바글바글대/VV
90,월요일/NNG 에/JKB 우리/NP 두목__03/NNG 들어오/VV
91,나/NP 조금/MAG 뒤__01/NNG 에/JKB 나가/VV
92,바다/NNG 모래사장/NNG 삽시간/NNG 에/JKB 어둡/VA
93,밤__01/NNG 에/JKB 들어오/VV
94,밖/NNG 에/JKB 보조/NNG 단위__02/NNG 유도__08/NNG 단위__02/NNG 있/VV
