Number,Sentence
1,대충/MAG 이런/MM 반응/NNG 이/JKS 하루__01/NNG 에/JKB 한/MM 번/NNB 씩/XSN 지나가/VV ᆫ다/EF ./SF
2,오히려/MAG 이번__01/NNG 에/JKB 는/JX 진구/NNP 가/JKS 말문__01/NNG 이/JKS 막히/VV 었/EP 다/EF ./SF
3,한참/NNG 뒤__01/NNG 에/JKB 당숙/NNG 이/JKS 말__01/NNG 을/JKO 잇__01/VV 었/EP 다/EF ./SF
4,왕년/NNG 에/JKB ᆫ/JX 다/MAG 산천/NNG 이/JKS 떠르르/MAG 하/VV 았/EP 지/EF ./SF "/SS
5,전__08/NNG 에/JKB 는/JX 교통__01/NNG 이/JKS 불편__01/NNG 하/XSA 아서/EC 좋/VA 았/EP 지/EF ./SF
6,만찬/NNG 시/NNB 에/JKB 는/JX 반주__08/NNG 로/JKB 마주앙/NNG 이/JKS 나오/VV ᆫ다/EF ./SF
7,잠시/MAG 후__08/NNG 에/JKB 술상/NNG 이/JKS 나오/VV 았/EP 다/EF ./SF
8,조금__01/NNG 후__07/NNG 에/JKB 개울/NNG 이/JKS 나타나/VV 았/EP 습니다/EF ./SF
9,그/MM 이전__03/NNG 에/JKB ᆫ/JX 그런/MM 개념/NNG 이/JKS 없/VA 었/EP 다/EF ./SF
10,정식이/NNP 도/JX 처음/NNG 에/JKB 는/JX 신__02/NNG 이/JKS 나/VV 았/EP 다/EF ./SF
11,뉴스/NNG 시간__04/NNG 에/JKB 모교__01/NNG 선생__01/NNG 님/XSN 들/XSN 이/JKS 나오/VV 았/EP 다/EF ./SF
12,그/MM 밖/NNG 에/JKB 는/JX 다른/MM 계획__01/NNG 이/JKS 없/VA 습니다/EF ./SF
13,금시/NNG 에/JKB 물__01/NNG 이/JKS 한/MM 자__01/NNB 나/JX 줄/VV 었/EP 다/EF ./SF
14,이/NP 에/JKB 비하/VV 아/EC 김병익/NNP 의/JKG 독법/NNG 은/JX 어떠/XR 하/XSA ᆫ가/EF ./SF
15,생각__01/NNG 이/JKS 즉시/NNG 에/JKB 머릿속/NNG 으로/JKB 들어오/VV 았/EP 다/EF ./SF
16,아침/NNG 에/JKB "/SS 눈__04/NNG 이/JKS 오/VV 았/EP 나/EF ./SF "/SS
17,핀란드/NNP 헬싱키/NNP 에/JKB 비하/VV 아/EC 너무/MAG 따뜻/XR 하/XSA 았/EP 다/EF ./SF
18,새끼손가락/NNG 이/VCP ᆯ/ETM 경우__03/NNG 에/JKB 는/JX 냉증/NNG 이/JKS 오/VV ᆫ다/EF ./SF
19,이번__01/NNG 에/JKB 는/JX 계장__03/NNG 이/JKS 끼어들/VV 었/EP 다/EF ./SF
20,한참/NNG 뒤__01/NNG 에/JKB 관리소장/NNG 이/JKS 나타나/VV 았/EP 다/EF ./SF
21,이번__01/NNG 에/JKB 는/JX 흙덩이/NNG 가/JKS 말문__01/NNG 이/JKS 막히/VV 었/EP 습니다/EF ./SF
22,한참/NNG 만__01/NNB 에/JKB 연출__02/NNG 이/JKS 입/NNG 을/JKO 열__02/VV 었/EP 다/EF ./SF
23,우선/MAG 밤__01/NNG 에/JKB 는/JX 수업__04/NNG 이/JKS 없/VA 습니다/EF ./SF
24,그/NP 에/JKB 비하/VV 면/EC 저/NP ᆫ/JX 아무것/NNG 도/JX 아니/VCN ᄇ니다/EF ./SF "/SS
25,교도__05/NNG 주임__01/NNG 이/JKS 중간__01/NNG 에/JKB 끼어들/VV 었/EP 다/EF ./SF
26,그/NP 에/JKB 비하/VV 면/EC 아버지/NNG 는/JX 깔끔/XR 하/XSA 았/EP 다/EF ./SF
27,결국/NNG 에/JKB 는/JX 어둠/NNG 만/JX 이/JKS 남/VV 겠/EP 지/EF ./SF
28,그런/MM 지__02/NNB 두/MM 달__05/NNG 뒤__01/NNG 에/JKB 입덧/NNG 이/JKS 나/VV 았/EP 다/EF ./SF
29,이/NP 에/JKB 비하/VV 아/EC 소설__03/NNG 은/JX 어떠/XR 하/XSA ᆫ가/EF ./SF
30,콘크리트/NNG 청부인/NNG 이/JKS 이번__01/NNG 에/JKB 는/JX 나서/VV 었/EP 다/EF ./SF
31,회의__04/NNG 참석/NNG 인원/NNG 이/JKS 거의/MAG 30/SN 명/NNB 에/JKB 가깝/VA 었/EP 다/EF ./SF
32,자카르타/NNP 에/JKB 비하/VV 면/EC 시골/NNG 이/VCP 지요/EF ./SF
33,"/SS 동생__01/NNG 이/JKS 하루__01/NNG 에/JKB 한/MM 번/NNB 씩/XSN 오/VV 았었/EP 어/EF ./SF
34,새/MM 시대__02/NNG 에/JKB 대하__02/VV ᆫ/ETM 약속/NNG 이/VCP 다/EF ./SF
35,밤__01/NNG 에/JKB 토옹/MAG 잠__01/NNG 이/JKS 오/VV 지/EC 않/VX 았/EP 습니다/EF ./SF
36,그/MM 때__01/NNG 에/JKB 갑동이/NNP 는/JX 문득/MAG 생각__01/NNG 이/JKS 나/VV 았/EP 다/EF ./SF
37,제생__01/NNG 이/JKS 그/MM 다음__01/NNG 에/JKB 따르__01/VV 아/EC 나가/VX ᆫ다/EF ./SF
38,오후__02/NNG 에/JKB 후드득/MAG 빗방울/NNG 이/JKS 떨어지/VV 었/EP 다/EF ./SF
39,어느새/MAG 에/JKB 싸락눈/NNG 이/JKS 바슬바슬/MAG 떨어지/VV ᆫ다/EF ./SF
40,네이스트/NNP 이전__03/NNG 에/JKB 는/JX 산타/NNP 에게/JKB 수염__04/NNG 이/JKS 없/VA 었/EP 다/EF ./SF
41,그/NP 로부터/JKB 잠시/MAG 뒤__01/NNG 에/JKB 조상국/NNP 이/JKS 나타나/VV 았/EP 다/EF ./SF
42,광장/NNG 이/JKS 한눈__01/NNG 에/JKB 들어오/VV 았/EP 다/EF ./SF
43,이/NP 에/JKB 비하/VV 아/EC 이기영/NNP 은/JX 사자__11/NNG 형/XSN 레이서/NNG ./SF
44,겨울/NNG 에/JKB 잎__01/NNG 이/JKS 지/VV 지/EC 않/VX 는대서/EC 가/JKC 아니/VCN 다/EF ./SF
45,여름철/NNG 에/JKB 맛__01/NNG 이/JKS 좋/VA 다/EF ./SF
46,며칠/NNG 후__08/NNG 에/JKB 답장/NNG 이/JKS 오/VV 았/EP 더군/EF ./SF
47,저녁/NNG 에/JKB 아이__01/NNG 들/XSN 이/JKS 돌아오/VV 았/EP 다/EF ./SF
48,이/NP 에/JKB 비하/VV 아서/EC 리스프/NNG 는/JX 절차__02/NNG 적/XSN 언어__01/NNG 이/VCP 다/EF ./SF
49,체육/NNG 시간__04/NNG 에/JKB 는/JX 제/XPN 일/NR 신__02/NNG 이/JKS 나/VV ᆫ다/EF ./SF
50,그/NP 의/JKG 말끝/NNG 에/JKB 웃음/NNG 이/JKS 묻어나/VV 았/EP 다/EF ./SF
51,이번__01/NNG 에/JKB ᆫ/JX 두/MM 사람/NNG 이/JKS 가/VV 았/EP 다/EF ./SF
52,옛날/NNG 에/JKB 는/JX 호랑이/NNG 들/XSN 이/JKS 말__01/NNG 도/JX 하/VV ᄇ니다/EF ./SF
53,상하/NNG 에/JKB 서로/MAG 믿음/NNG 이/JKS 없/VA 는/ETM 것/NNB 2/SN ./SF
54,그러나/MAJ 그/MM 순간__03/NNG 에/JKB 악마__02/NNG 의/JKG 유혹__02/NNG 이/JKS 들어오/VV 았/EP 다/EF ./SF
55,북천가/NNP 조선/NNP 철종/NNP 때__01/NNG 에/JKB 김진형/NNP 이/JKS 짓__01/VV 은/ETM 가사__09/NNG ./SF
56,순식간/NNG 에/JKB 밥그릇/NNG 이/JKS 모두/MAG 동나/VV 지/EC 않/VX 겠/EP 는가/EF ./SF
57,그런데/MAJ 일요일/NNG 에/JKB 눈__04/NNG 이/JKS 오/VV 았/EP 다/EF ./SF
58,밤__01/NNG 에/JKB 도/JX 잘/MAG 못/MAG 자__01/VV 겠/EP 고/EF ./SF
59,해방__05/NNG 과/JKB 동시__02/NNG 에/JKB 아버지/NNG 는/JX 귀국__02/NNG 을/JKO 하/VV 았/EP 다/EF ./SF
60,이번__01/NNG 에/JKB 는/JX 안개섬/NNP 쪽__05/NNB 에서/JKB 천둥/NNG 이/JKS 울__01/VV 었/EP 다/EF ./SF
61,"/SS 다음__01/NNG 에/JKB 는/JX 정말/MAG 뻬쩨르부르그/NNP 에서/JKB 만나/VV 아요/EF ./SF "/SS
62,아침/NNG 에/JKB 바쁘/VA ᆫ/ETM 것/NNB 은/JX 엄마/NNG 이/VCP 었/EP 다/EF ./SF
