Number,Sentence
1,지구촌/NNG 이/JKS 월드컵/NNG 열기__07/NNG 에/JKB 휩싸이/VV 고/EC 있/VX 다/EF ./SF
2,그/MM 말__01/NNG 에/JKB 최재걸/NNP 이/JKS 짐짓/MAG 경색__01/NNG 을/JKO 짓__01/VV 으며/EC ,/SP
3,그/MM 천진__03/NNG 하/XSA ᆫ/ETM 표정__03/NNG 에/JKB 마음__01/NNG 이/JKS 풀리/VV 었/EP 다/EF ./SF
4,그/NP 는/JX 설움/NNG 에/JKB 말문__01/NNG 이/JKS 막히/VV 곤/EC 하/VX 았/EP 다/EF ./SF
5,이/MM 말__01/NNG 에/JKB 나/NP 도/JX 생각__01/NNG 이/JKS 나/VV 았/EP 다/EF ./SF
6,영어/NNP 실력__02/NNG 에/JKB 대하__02/VV ᆫ/ETM 자신감/NNG 때문/NNB 이/VCP 다/EF ./SF
7,책머리/NNG 에/JKB 한/MM 중__01/NNG 이/JKS 스승__01/NNG 에게/JKB 묻__03/VV 었/EP 다/EF ./SF
8,박창길/NNP 의/JKG 말__01/NNG 에/JKB 이재필/NNP 이/JKS 장단__01/NNG 을/JKO 먹이/VV 었/EP 다/EF ./SF
9,온몸/NNG 이/JKS 땀__01/NNG 에/JKB 흠뻑/MAG 젖__01/VV 어/EC 있/VX 었/EP 다/EF ./SF
10,이즈음/NNG 진우/NNP 는/JX 취직/NNG 준비/NNG 에/JKB 여념/NNG 이/JKS 없/VA 었/EP 다/EF ./SF
11,이/MM 말__01/NNG 에/JKB 레빈/NNP 은/JX 갑자기/MAG 열__07/NNG 이/JKS 나/VV 았/EP 다/EF ./SF
12,그/MM 음성__02/NNG 에/JKB 첫째/NR 어머니/NNG 는/JX 왈칵/MAG 내닫/VV 았/EP 다/EF ./SF
13,그/MM 바람__01/NNB 에/JKB 아줌마/NNG 가/JKS 넘어지/VV 었/EP 지/EC 않/VX 아/EF ./SF "/SS
