Number,Sentence
1,비로소/MAG 주위__02/NNG 경관__04/NNG 이/JKS 눈__01/NNG 에/JKB 들어오/VV 았/EP 다/EF ./SF
2,사내__01/NNG 의/JKG 손__01/NNG 이/JKS 이마__01/NNG 에/JKB 닿/VV 았/EP 다/EF ./SF
3,예반__01/NNG 이/JKS 땅/NNG 에/JKB 떨어지/VV 었/EP 다/EF ./SF
4,그녀/NP 의/JKG 머리칼/NNG 이/JKS 뺨/NNG 에/JKB 달라붙/VV 었/EP 다/EF ./SF
5,눈물__01/NNG 이/JKS 한/MM 방울__01/NNG 꽃다발/NNG 의/JKG 가시__01/NNG 에/JKB 떨어지/VV 었/EP 다/EF ./SF
6,모든/MM 것/NNB 이/JKS 땅/NNG 에/JKB 묻히__02/VV 고/EC 말/VX 았/EP 죠/EF ./SF
7,동진/NNP 의/JKG 말__01/NNG 이/JKS 귀__01/NNG 에/JKB 들어오/VV 지/EC 않/VX 았/EP 다/EF ./SF
8,그녀/NP 의/JKG 손톱__01/NNG 이/JKS 그/NP 의/JKG 팔__01/NNG 에/JKB 박히/VV 었/EP 다/EF ./SF
9,오늘/NNG 은/JX 집__01/NNG 들/XSN 이/JKS 집__01/NNG 에/JKB ᆯ/JKO 가/VV 았었/EP 소/EF ./SF
10,아무튼/MAG 김/NNP 선생/NNG 이/JKS 상좌__03/NNG 에/JKB 앉/VV 아/EC 주/VX 어/EF ./SF
11,분식집/NNG 이/JKS 눈__01/NNG 에/JKB 들어오/VV 았/EP 다/EF ./SF
12,콧등/NNG 과/JC 이마__01/NNG 에/JKB 식은땀/NNG 이/JKS 나/VV 았/EP 다/EF ./SF
13,"/SS 무엇/NP 보다/JKB 디지털/NNG 영화__01/NNG 에/JKB 욕심/NNG 이/JKS 나/VV 았/EP 습니다/EF ./SF
14,훈련병/NNG 이/JKS 땅바닥/NNG 에/JKB 퍽__01/MAG 쓰러지/VV 었/EP 다/EF ./SF
15,에드몬톤/NNP 이/JKS 시야__03/NNG 에/JKB 들어오/VV 기/ETN 시작/NNG 하/XSV 았/EP 다/EF ./SF
16,벌써/MAG 등__01/NNG 에/JKB 척척/XR 하/XSA ᆫ/ETM 땀__01/NNG 이/JKS 배어나/VV 았/EP 다/EF ./SF
17,그것/NP 이/JKS 이제/MAG 경희/NNP 눈가/NNG 에/JKB 붙/VV 었/EP 다/EF ./SF
18,그제야/MAG 나/NP 의/JKG 눈__01/NNG 에/JKB 발신인/NNG 이/JKS 뚜렷이/MAG 들어오/VV 았/EP 다/EF ./SF
19,106/SN 동__15/NNB 이/JKS 저만큼/MAG 눈__01/NNG 에/JKB 들어오/VV 았/EP 다/EF ./SF
20,그/NP 의/JKG 눈빛__01/NNG 에/JKB 고통/NNG 이/JKS 떠오르/VV 았/EP 다/EF ./SF
21,그런데/MAJ 그/MM 내용__02/NNG 이/JKS 머리__01/NNG 에/JKB 는/JX 전혀__01/MAG 안/MAG 들어오/VV 는걸/EF ./SF
22,잎/NNG 들/XSN 이/JKS 땅/NNG 에/JKB 떨어지/VV 어/EC 있/VX 는/ETM 모습__01/NNG ./SF
23,유족민/NNG 한/MM 분__01/NNB 의/JKG 말씀/NNG 이/JKS 기억/NNG 에/JKB 남/VV 는다/EF ./SF
24,의원__05/NNG 등__05/NNB 이/JKS 물망__02/NNG 에/JKB 오르/VV 고/EC 있/VX 다/EF ./SF
25,연출__02/NNG 의/JKG 팔__01/NNG 이/JKS 그/NP 의/JKG 어깨__01/NNG 에/JKB 올라오/VV 았/EP 다/EF ./SF
26,마침/MAG 건너편/NNG 층계/NNG 에/JKB 도/JX 저녁/NNG 불빛/NNG 이/JKS 반짝__01/MAG 들어오/VV ᆫ다/EF ./SF
27,달__05/NNG 이/JKS 구름__01/NNG 속__01/NNG 에/JKB 들__01/VV 어/EC 어둑어둑/XR 하/XSA 았/EP 다/EF ./SF
28,서예__01/NNG 계/XSN 에/JKB 먹물/NNG 이/JKS 튀/VV 었/EP 다/EF ./SF
29,최/NNP 서방__02/NNG 은/JX 들__01/NNG 에/JKB 나가/VV 았/EP 다/EF ./SF
30,"/SS 군__05/NNG 에/JKB 가/VV ᆫ단/ETM 말__01/NNG 이/VCP 야/EF ./SF "/SS
31,이__05/MM 도시__03/NNG 에/JKB 도/JX 추석__01/NNG 은/JX 오/VV ᆫ다/EF ./SF
32,삼청교육대/NNP 에/JKB 끌려가/VV 았었/EP 대/EF ./SF
33,리처드/NNP 클라인/NNP 은/JX 이__05/MM 문제__06/NNG 에/JKB 다르/VA 게/EC 접근/NNG 하/XSV ᆫ다/EF ./SF
34,먼저/MAG 책방__01/NNG 에/JKB 가/VV 았/EP 어/EF ./SF
35,정확/XR 하/XSA 게/EC 명치__01/NNG 에/JKB 걸리__01/VV 었/EP 다/EF ./SF
36,남산/NNP 에/JKB 나/JX 올라가/VV 자/EF ./SF ]/SS
37,벽__06/NNG 에/JKB 붙/VV 어/EC ,/SP 빨리/MAG 새끼__02/NNG 들/XSN 아/JKV !/SF "/SS
38,한/MM 발__01/NNG 이/JKS 물__01/NNG 속__01/NNG 에/JKB 빠지__02/VV 었/EP 다/EF ./SF
39,아버지/NNG 는/JX 형__01/NNG 을/JKO 침대__02/NNG 에/JKB 뉘__01/VV 었/EP 다/EF ./SF
40,그/MM 집__01/NNG 에/JKB 가/VV 지/EC 말/VX 아/EC ,/SP 으앙앙/IC …/SE ./SF "/SS
41,마을__01/NNG 에/JKB 방물장수/NNG 가/JKS 들어오/VV 았/EP 다/EF ./SF
42,나/NP 는/JX 그녀/NP 의/JKG 몸뚱이/NNG 위__01/NNG 에/JKB 엎어지/VV 었/EP 다/EF ./SF
43,그런데/MAJ 하필/MAG 타구__02/NNG 는/JX 파울/NNG 라인/NNG 위__01/NNG 에/JKB 떨어지/VV 었/EP 다/EF ./SF
44,결론__02/NNG 에/JKB 도달__01/NNG 하/XSV ᆯ/ETM 수__02/NNB 있/VV 다/EF ./SF
45,"/SS 저/NP ᆫ/JX 이__05/MM 대학__01/NNG 에/JKB 가/VV 고/EC 싶/VX 습니다/EF ./SF "/SS
46,"/SS 등허리/NNG 에/JKB 붙/VV 었/EP 어요/EF ./SF "/SS
47,그/NP 보다/JKB 오늘/NNG 저녁/NNG 모임__01/NNG 에/JKB 조금/MAG 늦/VV 겠/EP 어요/EF ./SF
48,언덕/NNG 꼭대기/NNG 외딴/MM 구멍가게/NNG 에/JKB 닿/VV 았/EP 습니다/EF ./SF
49,류/NNP 씨/NNB 는/JX 허탈감/NNG 에/JKB 빠지__02/VV 었/EP 다/EF ./SF
50,9/SN 층__02/NNG 에/JKB 다다르/VV ᆫ/ETM 것/NNB 이/VCP 었/EP 다/EF ./SF
51,반대__03/NNG 로/JKB LG/SL 는/JX 벼랑/NNG 에/JKB 몰리__01/VV 었/EP 다/EF ./SF
52,흰색/NNG 초__01/NNG 여러/MM 개/NNB 를/JKO 욕조/NNG 테두리/NNG 에/JKB 올려놓/VV 았/EP 다/EF ./SF
53,끝섬/NNP 에/JKB 가/VV 아서/EC 자살__01/NNG 하/XSV 겠/EP 다는/ETM 미애/NNP 의/JKG 고백/NNG ./SF
54,"/SS 저기/NP 납골당/NNG 에/JKB 모시/VV ᆫ답니다/EF ./SF "/SS
55,반야원/NNP 에/JKB 가/VV 았/EP 어/EF ./SF
56,나/NP 는/JX 교사__09/NNG 휴양원/NNG 에/JKB ᆯ/JKO 가/VV 려고/EC 하/VX ᄇ니다/EF ./SF
57,그러면/MAJ 또다시/MAG 책장__02/NNG 에/JKB 꽂히/VV 어/EC 버리/VX ᆫ다/EF ./SF
58,우리/NP 는/JX 지금__03/MAG CI/SL 의/JKG 시대__02/NNG 에/JKB 오/VV 아/EC 있/VX 다/EF ./SF
59,오늘/NNG 은/JX 원장__07/NNG 2/SN 구__15/NNG 에/JKB 가/VV 았/EP 다/EF ./SF
60,이__05/MM 놀이터/NNG 에/JKB 참/MAG 오/VV 고/EC 싶/VX 었/EP 어/EF ./SF "/SS
61,"/SS 저/NP 네/XSN 집__01/NNG 에/JKB 아주/MAG 가/VV 았/EP 어요/EF ./SF "/SS
62,그러나/MAJ 선생__01/NNG 님/XSN 은/JX 첨벙/MAG 물__01/NNG 에/JKB 엎어지/VV 었/EP 습니다/EF ./SF
63,이윽고/MAG 버스__02/NNG 는/JX 바닷가/NNG 에/JKB 닿/VV 았/EP 다/EF ./SF
64,춘기/NNP 의/JKG 말__01/NNG 은/JX 이치__06/NNG 에/JKB 닿/VV 았/EP 다/EF ./SF
65,조금/MAG 전__08/NNG 문방구/NNG 에/JKB ᆯ/JKO 다녀오/VV 았/EP 습니다/EF ./SF
66,그래서/MAJ 자리__02/NNG 에/JKB 눕__01/VV 었/EP 다/EF ./SF
67,그래서/MAJ 사범대/NNG 에/JKB 들어오/VV 았/EP 다/EF ./SF
68,떡국/NNG 이나/JC 칼국수/NNG ,/SP 찌개__01/NNG 에/JKB 살짝/MAG 고명__01/NNG 으로/JKB 올려놓/VV 는다/EF ./SF
69,이윽고/MAG 약수터/NNG 에/JKB 다다르/VV 았/EP 습니다/EF ./SF
70,"/SS 어/IC ?/SF 너/NP 네/XSN 집__01/NNG 에/JKB 가/VV 았/EP 구나/EF !/SF "/SS
71,누구/NP 이/VCP ᆫ가/EC 학교/NNG 에/JKB 신문__10/NNG 을/JKO 가져오/VV 았/EP 다/EF ./SF
72,인생__01/NNG 에/JKB 여유/NNG 를/JKO 가지/VV 어다/EC 주/VX 죠/EF ./SF
73,"/SS 야/IC ,/SP 우리/NP 산꼭대기/NNG 에/JKB 안/MAG 가/VV ᆯ래/EF ?/SF "/SS
74,저/NP 는/JX 본교__01/NNG 에/JKB 나/JX 다녀오/VV ᆯ까/EC 하/VX ᄇ니다/EF ./SF
75,일본/NNP 에/JKB 가/VV 아/EC 보/VX 아/EC ,/SP 이/MM 년__01/NNB 들/XSN 아/JKV !/SF
76,해외/NNG 풍토병/NNG 이/JKS 국내__02/NNG 에/JKB 스며들/VV ᆫ다고/EC 하/VX ᆫ다/EF ./SF
77,얼른/MAG 버스__02/NNG 에/JKB 오르/VV 고/EC 말/VX ᆫ다/EF ./SF
78,-/SS 술집/NNG 에/JKB 도/JX 자주/MAG 가/VV 시/EP 는지요/EF ./SF
79,그/MM 강물/NNG 속__01/NNG 에/JKB 당신/NP 과/JC 내/NP 가/JKS 떠가/VV ᄇ니다/EF ./SF
80,어디/NP 에/JKB ᆯ/JKO 가/VV 아/EC 있/VX 을까/EF ./SF
81,얼마/NNG 전__08/NNG 고향__02/NNG 에/JKB ᆯ/JKO 다녀오/VV 았/EP 다네/EF ./SF
82,물품/NNG 은/JX 중국/NNP 음식/NNG 에/JKB 필수__02/NNG 적/XSN 으로/JKB 들어가__01/VV 는/ETM 숙주나물/NNG ./SF
83,"/SS 반야원/NNP 에/JKB 가/VV 시/EP ᆯ라구요/EF ?/SF "/SS
84,다시/MAG 는/JX 밖/NNG 에/JKB 나가/VV 지/EC 않/VX 겠/EP 습니다/EF ./SF "/SS 하고/JKQ
85,아마/MAG 목적지/NNG 에/JKB 다다르/VV ᆫ/ETM 모양__02/NNG 이/VCP 었/EP 다/EF ./SF
86,그래서/MAJ 경화/NNP 는/JX 단도직입/NNG 으로/JKB 본론/NNG 에/JKB 들어가__01/VV 았/EP 다/EF ./SF
87,공원__03/NNG 에/JKB 가/VV 아요/EF ./SF
88,아이__01/NNG 도/JX 남편__01/NNG 도/JX 눈__01/NNG 에/JKB 들어오/VV 지/EC 않/VX 았/EP 어요/EF ./SF
89,주머니/NNG 에/JKB 주민/NNG 등록증/NNG 이/JKS 있/VV 었/EP 거든요/EF ./SF
90,저녁/NNG 차__06/NNG 로/JKB 대구/NNP 에/JKB 가/VV 았/EP 다/EF ./SF
91,마을__01/NNG 어귀__01/NNG 에/JKB 이르__01/VV 러/EC 있/VX 었/EP 다/EF ./SF
92,재수__01/NNG 하/XSV 아/EC 본교__01/NNG 에/JKB 오/VV ᄆ/ETN ./SF
93,아이__01/NNG 는/JX 혜미/NNP 집__01/NNG 에/JKB 가/VV 지/EC 않/VX 았/EP 다/EF ./SF
94,나/NP 는/JX 한/MM 아이__01/NNG 의/JKG 집__01/NNG 에/JKB 가/VV 아서/EC ,/SP
95,"/SS 언니/NNG ,/SP 나무__01/NNG 에/JKB 올라가/VV 자/EF ./SF "/SS
96,서부극/NNG 을/JKO 상영__01/NNG 하/XSV 는/ETM 극장/NNG 에/JKB ᆯ/JKO 가/VV 자/EF ./SF
97,그/NP 는/JX 유리창/NNG 에/JKB 바짝/MAG 다가서/VV 었/EP 다/EF ./SF
98,가르시아/NNP 는/JX 그/MM 열차__02/NNG 에/JKB 오르/VV 았/EP 다/EF ./SF
99,[/SS 손__02/NNG 님/XSN 방__07/NNG 에/JKB 가/VV 아/EC 보/VX 아라/EF ./SF ]/SS
100,마침내/MAG 땅/NNG 에/JKB 떨어지/VV ᆫ다/EF ./SF
101,한상철/NNP 번역/NNG )/SS 로/JKB 무대__06/NNG 에/JKB 올리__01/VV 었/EP 다/EF ./SF
102,아내__01/NNG 가/JKS 책장__02/NNG 에/JKB 꽂/VV 아/EC 버리/VX ᆫ/ETM 것/NNB 이/VCP 다/EF ./SF
103,차돌이/NNP 도/JX 엄마/NNG 저고리__01/NNG 에/JKB 얼굴/NNG 을/JKO 기대__01/VV 었/EP 습니다/EF ./SF
104,고향__02/NNG 들__01/NNG 녘/NNB 黃小芝/SH 식탁/NNG 에/JKB 봄/NNG 나물__01/NNG 을/JKO 올리__01/VV ᆫ다/EF ./SF
105,마침내/MAG 그/NP 가/JKS 나/NP 를/JKO 풀밭/NNG 위__01/NNG 에/JKB 내팽개치/VV 었/EP 다/EF ./SF
106,「/SS 사랑방/NNG 에/JKB ᆯ랑/JX 나가/VV 지/EC 말/VX 아라/EC …/SE …/SE 」/SS
107,속셈/NNG 학원__02/NNG 에/JKB 보내/VV 시/EP 어요/EF ./SF "/SS
108,나/NP ᆫ/JX 따뜻/XR 하/XSA ᆫ/ETM 방__07/NNG 에/JKB 들어가__01/VV 면/EC …/SE "/SS
109,-/SS 그럼/MAJ 그/MM 애__02/NNG 집__01/NNG 에/JKB 한번/NNG 가/VV 아/EC 보/VX ᆯ까/EF ?/SF
110,괜히/MAG 이곳/NP 에/JKB 오/VV 았/EP 구나/EC 싶/VX 다/EF ./SF
111,수창이/NNP 는/JX 말없이/MAG 신문__10/NNG 을/JKO 탁자__01/NNG 위__01/NNG 에/JKB 던지/VV 었/EP 다/EF ./SF
112,그러다가/MAJ 대학__01/NNG 에/JKB 들어오/VV 면/EC 훨씬/MAG 자유__03/NNG 롭/XSA 어/EC 지/VX ᆫ다/EF ./SF
113,이윽고/MAG 차__06/NNG 는/JX 호텔/NNG 앞/NNG 에/JKB 닿/VV 았/EP 다/EF ./SF
114,마침내/MAG 그/NP 는/JX 상자__10/NNG 에/JKB 푹/MAG 거꾸러지/VV 었/EP 다/EF ./SF
115,시골/NNG 에/JKB 가/VV 자/EF ./SF
116,나/NP 는/JX 술잔/NNG 을/JKO 탁자__01/NNG 에/JKB 올려놓/VV 았/EP 다/EF ./SF
117,"/SS 내일/NNG 그만/MAG 경성/NNP 에/JKB 나/JX 가/VV ᆯ까/EF ?/SF "/SS
118,아래층/NNG 의/JKG 시멘트/NNG 바닥__01/NNG 에/JKB 창길/NNP 을/JKO 내동댕이치/VV 었/EP 다/EF ./SF
119,일행__01/NNG 이/JKS 마침내/MAG 절벽/NNG 끝/NNG 에/JKB 이르__01/VV 었/EP 다/EF ./SF
120,그/MM 자세__02/NNG 로/JKB '/SS 작가__01/NNG 탐방/NNG '/SS 에/JKB 들어가__01/VV 자/EF ./SF
121,저/NP 는/JX 그/NP 의/JKG 어깨__01/NNG 에/JKB 이마__01/NNG 를/JKO 대__01/VV 었/EP 습니다/EF ./SF
122,중년__01/NNG 사내__01/NNG 가/JKS 호주머니/NNG 에/JKB 손__01/NNG 을/JKO 찌르/VV 었/EP 다/EF ./SF
123,아기__01/NNG 는/JX 연탄__03/NNG 을/JKO 언덕길/NNG 에/JKB 내려놓/VV 았/EP 습니다/EF ./SF
124,그럼/MAJ 서대문/NNP 에/JKB ᆫ/JX 가/VV 나/EF ?/SF
125,"/SS 투표장/NNG 에/JKB 들어가__01/VV ᄇ니다/EF ./SF "/SS
126,누구/NP 두/MM 사람/NNG 은/JX 다른/MM 크로스/NNG 에/JKB 가/VV 아/EC 보/VX 고/EF ./SF
127,그래서/MAJ 나/NP 는/JX 너/NP 를/JKO 제자리/NNG 에/JKB 뉘__01/VV 었/EP 단다/EF ./SF
128,"/SS 어제/MAG 이/MM 도시__03/NNG 에/JKB 오/VV 았/EP 어요/EF ./SF
129,집__01/NNG 에/JKB 돌아오/VV 면/EC 언필칭이/MAG 원고__03/NNG 타령__01/NNG 이/VCP 다/EF ./SF
130,모스크바/NNP 에서/JKB 기차__01/NNG 로/JKB 레닌그라드/NNP 에/JKB 내리/VV 었/EP 다/EF ./SF
131,"/SS 영국/NNP 에/JKB 가/VV 았/EP 다고/EF ?/SF "/SS
132,'/SS 나/NP ᆫ/JX 어느/MM 공장__02/NNG 에/JKB 팔리/VV 어/EC 가/VX 나/EF ?/SF '/SS
133,다리__01/NNG 를/JKO 방바닥/NNG 에/JKB 쿵쿵/MAG 드놓__01/VV 았/EP 다/EF ./SF
134,나/NP 도/JX 올해/NNG 는/JX 대학__01/NNG 에/JKB 꼭__03/MAG 들어가__01/VV 고/EC 싶/VX 어/EF ./SF
135,너트/NNG 를/JKO 황산마그네슘/NNG 용액/NNG 병__05/NNG 에/JKB 하나/NR 씩/XSN 넣/VV 는다/EF ./SF
136,그러면/MAJ 벌__03/NNG 이/JKS 몇/MM 마리/NNB 손__01/NNG 에/JKB 올라앉/VV 는다/EF ./SF
137,"/SS 춘기/NNP 가/JKS 총학생회/NNG 에/JKB 부치__02/VV 지/EF ./SF
138,짝귀/NNP 가/JKS 단상__03/NNG 에/JKB 오르/VV 아/EC 연설__02/NNG 하/XSV 았/EP 다/EF ./SF
139,인간__01/NNG 세상__01/NNG 에/JKB 다시/MAG 나가/VV 라/EF ./SF
140,호상이/NNP 는/JX 공장__02/NNG 에/JKB 들어가__01/VV 겠/EP 다고/EC 말__01/NNG 하/XSV 았/EP 다/EF ./SF
141,내일/NNG 은/JX 병원__02/NNG 에/JKB 를/JKO 가/VV 아야지/EF !/SF
142,덕호/NNP 는/JX 담배/NNG 꼬투리__01/NNG 를/JKO 재털이/NNG 에/JKB 팽개치/VV 며/EC ,/SP
143,도인__09/NNG 도/JX 병원__02/NNG 에/JKB ᆯ/JKO 가/VV 나요/EF ?/SF 」/SS
144,그/MM 섬__03/NNG 에/JKB ᆯ/JKO 들어가__01/VV 아/EC 보/VX ᆯ/ETM 생각__01/NNG 이/VCP 지/EF ./SF
145,어느/MM 중년__01/NNG 부인__04/NNG 이/JKS 안경점/NNG 에/JKB 들르/VV 었/EP 다/EF ./SF
146,자주/MAG 아버지/NNG 무덤/NNG 에/JKB 오/VV 아/EC 보/VX 아야지/EF ./SF
147,그러면/MAJ 선비/NNP 가/JKS 방적__02/NNG 공장__02/NNG 에/JKB 다니/VV 는가/EF ?/SF
148,방바닥/NNG 에/JKB 주저앉/VV 았/EP 습니다/EF ./SF
149,300/SN 환/NNB 을/JKO 바지__01/NNG 호주머니/NNG 에/JKB 넣/VV 었/EP 습니다/EF ./SF
150,6/SN 시간/NNB 쯤__x02/NNG 걸리__01/VV 어/EC 뚜르크/NNP 에/JKB 도착__01/NNG 하/XSV 았/EP 다/EF ./SF
151,그리고/MAJ 그/MM 위__01/NNG 에/JKB 손__01/NNG 을/JKO 대/VV 어/EC 보/VX 았/EP 다/EF ./SF
152,새벽__01/NNG 차__06/NNG 로/JKB 대구/NNP 에/JKB 가/VV 았/EP 다/EF ./SF
153,"/SS 그럼/MAJ ,/SP 우리/NP 집__01/NNG 에/JKB 가/VV 자/EF ./SF "/SS
154,위협/NNG 사격__03/NNG 과/JKB 함께/MAG 방송국/NNG 에/JKB 뛰어들/VV 었/EP 다/EF ./SF
155,나/NP 는/JX 민석이/NNP 와/JKB 나란히/MAG 교실/NNG 에/JKB 들어서/VV 었/EP 다/EF ./SF
156,우선/MAG 이곳/NP 분교장/NNG 육성회장/NNG 네/XSN 집__01/NNG 에/JKB 들__01/VV 었/EP 어/EF ./SF
157,이/NR 층__02/NNG 에/JKB 빨리/MAG 올라가/VV 아/EC 보/VX 아라/EF ./SF
158,세진/NNP 은/JX 얼른/MAG 이어폰/NNG 을/JKO 귀__01/NNG 에/JKB 꽂/VV 았/EP 다/EF ./SF
159,몰래/MAG 산부인과/NNG 에/JKB ᆯ/JKO 찾아가/VV 았/EP 다/EF ./SF
160,저/MM 방__07/NNG 에/JKB 좀/MAG 들어가__01/VV 아/EC 보/VX 시/EP 라니까요/EF ?/SF
161,군대__03/NNG 에/JKB 가/VV 았/EP 어요/EF ./SF
162,"/SS 고향__02/NNG 에/JKB ᆯ/JKO 좀/MAG 가/VV 다가/EC …/SE …/SE "/SS 하고/JKQ
163,(/SS 할머니/NNG 의/JKG 어깨__01/NNG 에/JKB 기대__01/VV ᆫ다/EF ./SF )/SS
164,둘/NR 은/JX 사창가/NNG 에/JKB 도/JX 함께/MAG 가/VV 았/EP 다/EF ./SF
165,"/SS 대천/NNP 에/JKB ᆯ/JKO 가/VV 자구/EF ./SF "/SS
166,드디어/MAG 임금__01/NNG 은/JX 크/VA ᆫ/ETM 집__01/NNG 에/JKB 도착__01/NNG 하/XSV 았/EP 습니다/EF ./SF
167,그리고/MAJ 다시/MAG 침대__02/NNG 에/JKB 눕__01/VV 었/EP 다/EF ./SF
168,그러나/MAJ 러이/NNP 의/JKG 머리__01/NNG 는/JX 바로/MAG 땅바닥/NNG 에/JKB 박히/VV 었/EP 다/EF ./SF
169,이윤상/NNP 군/NNB 가족__01/NNG 품__01/NNG 에/JKB 돌아오/VV 아/EF !/SF
170,학교/NNG 에/JKB 가/VV 려고/EF ./SF "/SS
171,당신/NP 은/JX 이제/MAG 막__01/MAG 프놈펜/NNP 에/JKB 들어서/VV 었/EP 다/EF ./SF
172,아이__01/NNG 는/JX 아낙/NNG 의/JKG 가슴__01/NNG 에/JKB 얼굴/NNG 을/JKO 묻__02/VV 었/EP 다/EF ./SF
173,"/SS 광주/NNP 에/JKB 내려가/VV 는/ETM 거/NNB 이/VCP 지요/EF ?/SF "/SS
174,벌__03/NNG 도/JX 그곳/NP 에/JKB 돌아오/VV ᆫ다/EF ./SF
