Number,Sentence
1,그러자/MAJ 위__01/NNG 에서/JKB 버럭/MAG 고함__01/NNG 터지/VV
2,그것/NP 지금__03/MAG 시대__02/NNG 에서/JKB 무엇/NP 뜻/NNG 알/VV
3,우리/NP 공동체/NNG 마을__01/NNG 아이__01/NNG 학교/NNG 에서/JKB 공부__01/NNG 시간__04/NNG 아주/MAG 적/VA
4,청소년/NNG 사이코드라마/NNG 에서/JKB 대사__17/NNG 하/VV
5,창밖/NNG 에서/JKB 고요히/MAG 눈__04/NNG 내리/VV
6,공기__06/NNG 중__04/NNB 에서/JKB 표면/NNG 산화__06/NNG 회백색/NNG 피막/NNG 만들/VV
7,일/NNB 증시__88/NNG 에서/JKB 반도체/NNG 주__24/NNG 약진__04/NNG 돋보이/VV
8,이것/NP 전국__03/NNG 도처/NNG 에서/JKB 굴러다니/VV 차량__01/NNG 사고__12/NNG 빈발__01/NNG
9,마침내/MAG 경화/NNP 입/NNG 에서/JKB 말문__01/NNG 터지/VV
10,문법__01/NNG 시험__03/NNG 에서/JKB 차지__01/NNG 비중/NNG 정도__11/NNG 되__01/VV
11,한국/NNP 시리즈/NNG 에서/JKB 타격/NNG 너무/MAG 부진__01/NNG 남__01/NNG 보__01/VV 창피/NNG
12,구름__01/NNG 뒤__01/NNG 에서/JKB 태양__02/NNG 비치__01/VV
13,대중__02/NNG 차원__01/NNG 에서/JKB 생명/NNG 생기__01/NNG 흐르__01/VV
14,불펜/NNG 에서/JKB 전승남/NNP 몸__01/NNG 풀/VV
15,뱀/NNG 바로/MAG 앞/NNG 에서/JKB 도망__02/NNG 가/VV
16,장/NNP 노인__01/NNG 밭머리/NNG 에서/JKB 달구지__01/NNG 고치__01/VV 딱__01/MAG
17,비즈니스/NNG 사회__07/NNG 에서/JKB 특히/MAG 설명/NNG 중요__02/NNG 역할/NNG 하/VV
18,수련원/NNG 에서/JKB 기억/NNG 남/VV
19,개__03/NNG 콘테스트/NNG 에서/JKB 심사__08/NNG 위원__01/NNG 시험__03/NNG 하/VV
20,멀리/MAG 어둠/NNG 속__01/NNG 에서/JKB 마치/MAG 밤하늘/NNG 별/NNG 띄엄띄엄/MAG 불빛/NNG 나타나/VV
21,그때/NNG 마/NNP 병장__03/NNG 뒤__01/NNG 에서/JKB 은기/NNP 소매__01/NNG 끌/VV
22,재봉틀/NNG 위__01/NNG 에서/JKB 인형__01/NNG 빙그레/MAG 웃/VV
23,속__01/NNG 에서/JKB 눈__01/NNG 띄__01/VV 색__03/NNG 책__01/NNG 권/NNB
24,사계명/NNG 천도교/NNG 에서/JKB 교인__04/NNG 마땅히/MAG 지키__01/VV 가지/NNB 계율__01/NNG
25,박/NNP 곁/NNG 에서/JKB 조심__02/NNG 목소리/NNG 끼어들/VV
26,경험/NNG 이름자/NNG 에서/JKB 괘상/NNG 나오/VV 결혼/NNG 관계__05/NNG 불행/NNG
27,방청석/NNG 에서/JKB 사람/NNG 환호__04/NNG 하/VV
28,씨앗/NNG 에서/JKB 잎/NNG 꽃__01/NNG 피__01/VV 시작__01/NNG 계절__02/NNG 의미/NNG
29,백반/NNG 명반/NNG 백__07/NNG 보드/NNG 농구__07/NNG 에서/JKB 바스켓/NNG 달리__01/VV 뒤쪽__01/NNG 널빤지/NNG
30,군정__02/NNG 점령군/NNG 점령/NNG 지역__03/NNG 에서/JKB 임시__02/NNG 행하/VV 통치__03/NNG 행위/NNG
31,밖/NNG 에서/JKB 일__01/NNG 생기/VV
