Number,Sentence
1,나/NP 마음__01/NNG 움직임/NNG 위__01/NNG 아래__01/NNG (으)로/JKB 내려가/VV
2,신축__03/NNG 전원주택/NNG 위쪽/NNG (으)로/JKB 집__01/NNG 없/VA
3,쇠전__01/NNG 술청/NNG (으)로/JKB 돌아오/VV
4,그녀/NP 오른발/NNG 위__01/NNG (으)로/JKB 치솟/VV
5,사람/NNG 동시__02/NNG 밖/NNG (으)로/JKB 튀어나오/VV
6,박/NNP 창밖/NNG (으)로/JKB 시선__03/NNG 던지/VV 말__01/NNG
7,그때/NNG 수행원/NNG 사람/NNG 뒷자리/NNG (으)로/JKB 천천히/MAG 다가오/VV
8,끼익/MAG 몸__01/NNG 앞/NNG (으)로/JKB 쏠리/VV
9,청년/NNG 손__01/NNG 조끼__01/NNG (으)로/JKB 가/VV
10,일제히/MAG 수십/NR 개/NNB 화살__01/NNG 하늘/NNG (으)로/JKB 날아오르/VV
11,나/NP 속__01/NNG (으)로/JKB 웃음/NNG 나오/VV
12,노인__01/NNG 사람/NNG 주저주저/MAG 앞/NNG (으)로/JKB 나오/VV
13,갑자기/MAG 한줄기/NNG 눈물__01/NNG 뺨/NNG 위__01/NNG (으)로/JKB 주르륵/MAG 흘러내리/VV
14,손__01/NNG 방바닥/NNG (으)로/JKB 떨어지/VV
15,방문__02/NNG 앞/NNG (으)로/JKB 놈/NNB 다가들/VV
16,사람/NNG 눈길__01/NNG 쪽__05/NNB (으)로/JKB 쏠리/VV
17,달__05/NNG 어느새/MAG 서쪽/NNG (으)로/JKB 기울/VV
18,아이__01/NNG 턱__01/NNG 다시/MAG 무릎/NNG 위__01/NNG (으)로/JKB 떨어지/VV
19,해숙/NNP 구석__01/NNG 쪽__05/NNB (으)로/JKB 얼굴/NNG 돌리__04/VV
20,사람/NNG 시선__03/NNG 일제히/MAG 쪽__05/NNB (으)로/JKB 쏠리/VV
21,간난이/NNP 귀밑/NNG (으)로/JKB 땀__01/NNG 빗방울/NNG 흘러내리/VV
22,그곳/NP 왼쪽/NNG (으)로/JKB 약사봉/NNP 능선__01/NNG 나/VV
23,해숙/NNP 복도__04/NNG (으)로/JKB 나가/VV
24,박/NNP 선생__01/NNG 수업__04/NNG 중단__04/NNG 복도__04/NNG (으)로/JKB 나오/VV
25,형__01/NNG 밖/NNG (으)로/JKB 나가/VV 것/NNB 위험/NNG
26,벽장__02/NNG 속__01/NNG 옷/NNG 모조리/MAG 밖/NNG (으)로/JKB 나오/VV
27,김진봉/NNP 주춤주춤/MAG 뒤__01/NNG (으)로/JKB 물러서/VV 시작__01/NNG
28,어쩐지/MAG 발걸음/NNG 집__01/NNG (으)로/JKB 향하/VV
29,그/NP 손__01/NNG 이미정/NNP 팔뚝/NNG (으)로/JKB 다가들/VV
30,꼬마/NNG 강/NNP 복도__04/NNG (으)로/JKB 나오/VV 말__01/NNG
31,공양주/NNG 보살__02/NNG 거처__02/NNG 방__07/NNG (으)로/JKB 가/VV
32,사람/NNG 곳__01/NNG (으)로/JKB 가/VV
33,사람/NNG 시선__03/NNG 함께/MAG 야자나무/NNG (으)로/JKB 쏠리/VV
34,녀석/NNB 마루__03/NNG (으)로/JKB 올라서/VV
35,롯데호텔/NNP 스카이라운지/NNG 위__01/NNG (으)로/JKB 달__05/NNG 떠오르/VV
36,그때/NNG 그/NP 콧등/NNG (으)로/JKB 빗방울/NNG 툭/MAG 떨어지/VV
37,그때/NNG 산등/NNG 위__01/NNG (으)로/JKB 그믐달/NNG 삐죽이__03/MAG 내밀/VV
38,빗물/NNG 입속/NNG (으)로/JKB 스며들/VV
39,자재과장/NNG 번/NNB 서울/NNP 본사__03/NNG (으)로/JKB 전화__07/NNG 하/VV
40,겉주머니/NNG (으)로/JKB 손__01/NNG 가/VV
41,바스락/MAG 소리__01/NNG 눈길__01/NNG 자꾸/MAG 문__05/NNG 쪽__05/NNB (으)로/JKB 가/VV
42,그러나/MAJ 발짝/NNB 밖/NNG (으)로/JKB 나가/VV 천차만별/NNG
43,출입문/NNG 위아래/NNG (으)로/JKB 덜거덕거리/VV
44,어디/NP (으)로/JKB 가/VV
45,나/NP 터미널/NNG 쪽__05/NNB (으)로/JKB 서두르/VV
46,품이/NNP 그만/MAG 앞/NNG (으)로/JKB 고꾸라지/VV
47,오른편/NNG (으)로/JKB 돌/VV
48,그것/NP 어디/NP (으)로/JKB 들어가__01/VV
49,훈아/NNP 작은방/NNG 앞/NNG (으)로/JKB 달려가/VV
50,남쪽/NNG (으)로/JKB 갈모__04/NNG 쫑긋/MAG 솟__01/VV 매남산/NNP
51,어디/NP (으)로/JKB 가/VV
52,영달이/NNP 대합실/NNG 바깥/NNG (으)로/JKB 나가/VV 말__01/NNG
53,우리/NP 여섯/NR 명/NNB 동대문/NNP 시장__04/NNG 책방__01/NNG 골목__01/NNG (으)로/JKB 가/VV
54,그/NP 목욕탕/NNG (으)로/JKB 가/VV
