Number,Sentence
1,나/NP 의/JKG 마음__01/NNG 의/JKG 움직임/NNG 이/JKS 위__01/NNG 에서부터/JKB 아래__01/NNG (으)로/JKB 내려가/VV ᆫ다/EF ./SF
2,신축__03/NNG 전원주택/NNG 위쪽/NNG (으)로/JKB 는/JX 집__01/NNG 이/JKS 없/VA 었/EP 다/EF ./SF
3,쇠전__01/NNG 꾼/XSN 들/XSN 이/JKS 술청/NNG (으)로/JKB 돌아오/VV 았/EP 다/EF ./SF
4,그녀/NP 의/JKG 오른발/NNG 이/JKS 위__01/NNG (으)로/JKB 치솟/VV 았/EP 다/EF ./SF
5,두/MM 사람/NNG 이/JKS 동시__02/NNG 에/JKB 밖/NNG (으)로/JKB 튀어나오/VV 았/EP 다/EF ./SF
6,박/NNP 이/JKS 창밖/NNG (으)로/JKB 시선__03/NNG 을/JKO 던지/VV 며/EC 말__01/NNG 하/XSV 았/EP 다/EF ./SF
7,그때/NNG 수행원/NNG 한/MM 사람/NNG 이/JKS 뒷자리/NNG (으)로/JKB 천천히/MAG 다가오/VV 았/EP 다/EF ./SF
8,'/SS 끼익/MAG '/SS 몸__01/NNG 이/JKS 앞/NNG (으)로/JKB 쏠리/VV 었/EP 다/EF ./SF
9,청년/NNG 은/JX 손__01/NNG 이/JKS 조끼__01/NNG (으)로/JKB 가/VV ᆫ다/EF ./SF
10,일제히/MAG 수십/NR 개/NNB 의/JKG 화살__01/NNG 이/JKS 하늘/NNG (으)로/JKB 날아오르/VV 았/EP 다/EF ./SF
11,나/NP 는/JX 속__01/NNG (으)로/JKB 웃음/NNG 이/JKS 나오/VV 았/EP 다/EF ./SF
12,노인__01/NNG 한/MM 사람/NNG 이/JKS 주저주저/MAG 앞/NNG (으)로/JKB 나오/VV 았/EP 다/EF ./SF
13,갑자기/MAG 한줄기/NNG 눈물__01/NNG 이/JKS 뺨/NNG 위__01/NNG (으)로/JKB 주르륵/MAG 흘러내리/VV 었/EP 다/EF ./SF
14,그/MM 손__01/NNG 이/JKS 방바닥/NNG (으)로/JKB 떨어지/VV 었/EP 다/EF ./SF
15,그/MM 방문__02/NNG 앞/NNG (으)로/JKB 두/MM 놈/NNB 이/JKS 다가들/VV 었/EP 다/EF ./SF
16,사람/NNG 들/XSN 의/JKG 눈길__01/NNG 이/JKS 이/MM 쪽__05/NNB (으)로/JKB 쏠리/VV 었/EP 다/EF ./SF
17,달__05/NNG 이/JKS 어느새/MAG 서쪽/NNG (으)로/JKB 기울/VV 고/EC 있/VX 었/EP 습니다/EF ./SF
18,아이__01/NNG 의/JKG 턱__01/NNG 이/JKS 다시/MAG 무릎/NNG 위__01/NNG (으)로/JKB 떨어지/VV 었/EP 다/EF ./SF
19,해숙/NNP 이/JKS 구석__01/NNG 쪽__05/NNB (으)로/JKB 얼굴/NNG 을/JKO 돌리__04/VV 었/EP 다/EF ./SF
20,사람/NNG 들/XSN 의/JKG 시선__03/NNG 이/JKS 일제히/MAG 그/MM 쪽__05/NNB (으)로/JKB 쏠리/VV 었/EP 다/EF ./SF
21,간난이/NNP 의/JKG 귀밑/NNG (으)로/JKB 는/JX 땀__01/NNG 이/JKS 빗방울/NNG 같이/JKB 흘러내리/VV ᆫ다/EF ./SF
22,그곳/NP 에서/JKB 왼쪽/NNG (으)로/JKB 약사봉/NNP 능선__01/NNG 이/JKS 나/VV 아/EC 있/VX 었/EP 다/EF ./SF
23,해숙/NNP 이/JKS 복도__04/NNG (으)로/JKB 나가/VV 았/EP 다/EF ./SF
24,박/NNP 선생__01/NNG 이/JKS 수업__04/NNG 을/JKO 중단__04/NNG 하/XSV 고/EC 복도__04/NNG (으)로/JKB 나오/VV 았/EP 다/EF ./SF
25,"/SS 형__01/NNG 님/XSN 이/JKS 밖/NNG (으)로/JKB 나가/VV 는/ETM 것/NNB 은/JX 위험/NNG 하/XSA ᄇ니다/EF ./SF
26,벽장__02/NNG 속__01/NNG 의/JKG 옷/NNG 들/XSN 이/JKS 모조리/MAG 밖/NNG (으)로/JKB 나오/VV 아/EC 있/VX 다/EF ./SF
27,김진봉/NNP 이/JKS 주춤주춤/MAG 뒤__01/NNG (으)로/JKB 물러서/VV 기/ETN 시작__01/NNG 하/XSV 앗/EP 다/EF ./SF
28,어쩐지/MAG 발걸음/NNG 이/JKS 집__01/NNG (으)로/JKB 향하/VV 아/EC 지/VX 지/EC 않/VX 았/EP 습니다/EF ./SF
29,그/NP 의/JKG 손__01/NNG 이/JKS 이미정/NNP 의/JKG 팔뚝/NNG (으)로/JKB 다가들/VV 었/EP 다/EF ./SF
30,꼬마/NNG 강/NNP 이/JKS 복도__04/NNG (으)로/JKB 나오/VV 면서/EC 말__01/NNG 하/XSV 았/EP 다/EF ./SF
31,공양주/NNG 보살__02/NNG 이/JKS 거처__02/NNG 하/XSV 는/ETM 방__07/NNG (으)로/JKB 가/VV 았/EP 다/EF ./SF
32,두/MM 사람/NNG 이/JKS 한/MM 곳__01/NNG (으)로/JKB 가/VV 지/EC 말/VX 라/EF !/SF
33,두/MM 사람/NNG 의/JKG 시선__03/NNG 이/JKS 함께/MAG 야자나무/NNG (으)로/JKB 쏠리/VV 었/EP 다/EF ./SF
34,한/MM 녀석/NNB 이/JKS 마루__03/NNG (으)로/JKB 올라서/VV 고/EC 있/VX 었/EP 다/EF ./SF
35,롯데호텔/NNP 스카이라운지/NNG 위__01/NNG (으)로/JKB 달__05/NNG 이/JKS 떠오르/VV ᄇ니다/EF ./SF
36,그때/NNG ,/SP 그/NP 의/JKG 콧등/NNG (으)로/JKB 빗방울/NNG 이/JKS 툭/MAG 떨어지/VV ᆫ다/EF ./SF
37,그때/NNG 저/MM 산등/NNG 위__01/NNG (으)로/JKB 그믐달/NNG 이/JKS 삐죽이__03/MAG 내밀/VV 었/EP 다/EF ./SF
38,빗물/NNG 이/JKS 입속/NNG (으)로/JKB 스며들/VV ᆫ다/EF ./SF
39,자재과장/NNG 이/JKS 몇/MM 번/NNB 이나/JX 서울/NNP 본사__03/NNG (으)로/JKB 전화__07/NNG 를/JKO 하/VV ᆫ다/EF ./SF
40,겉주머니/NNG (으)로/JKB 손__01/NNG 이/JKS 가/VV ᆫ다/EF ./SF
41,바스락/MAG 소리__01/NNG 에/JKB 도/JX 눈길__01/NNG 이/JKS 자꾸/MAG 문__05/NNG 쪽__05/NNB (으)로/JKB 가/VV ᆫ다/EF ./SF
42,그러나/MAJ 한/MM 발짝/NNB 밖/NNG (으)로/JKB 나가/VV 면/EC 천차만별/NNG 이/VCP 다/EF ./SF
43,출입문/NNG 도/JX 위아래/NNG (으)로/JKB 덜거덕거리/VV 었/EP 다/EF ./SF
44,어디/NP (으)로/JKB 가/VV 나/EF ./SF
45,나/NP 는/JX 터미널/NNG 쪽__05/NNB (으)로/JKB 서두르/VV 어/EC 가/VX ᆫ다/EF ./SF
46,품이/NNP 는/JX 그만/MAG 앞/NNG (으)로/JKB 고꾸라지/VV 고/EC 말/VX 았/EP 습니다/EF ./SF
47,"/SS 오른편/NNG (으)로/JKB 돌/VV 앗/EF !/SF "/SS
48,"/SS 그것/NP 이/JKS 어디/NP (으)로/JKB 들어가__01/VV 니/EF ?/SF "/SS
49,훈아/NNP 는/JX 작은방/NNG 앞/NNG (으)로/JKB 달려가/VV 았/EP 다/EF ./SF
