Number,Sentence
1,기억/NNG 이/JKS 스스로/NNG 의/JKG 부력__01/NNG (으)로/JKB 떠오르/VV 았/EP 겠/EP 지/EF ./SF
2,그리고/MAJ 그/MM 결과__02/NNG (으)로/JKB 오줌/NNG 이/JKS 나오/VV ᆫ다/EF ./SF
3,온몸/NNG 이/JKS 땀__01/NNG (으)로/JKB 흠뻑/MAG 젖__01/VV 어/EC 있/VX 었/EP 다/EF ./SF
4,가동__07/NNG 률/XSN 증가__01/NNG (으)로/JKB 구미공단/NNP 에/JKB 근로자/NNG 들/XSN 이/JKS 되돌아오/VV 고/EC 있/VX 다/EF ./SF
5,통령/NNG 정부__08/NNG 프랑스/NNP 혁명/NNG 때__01/NNG 나폴레옹/NNP 이/JKS 쿠데타/NNG (으)로/JKB 세우__01/VV ᆫ/ETM 정부__08/NNG ./SF
6,오랜/MM 장마__01/NNG (으)로/JKB 냇물/NNG 이/VCP 며/EC 강물/NNG 들/XSN 이/JKS 출렁출렁/MAG 넘쳐흐르/VV ᆫ다/EF ./SF
7,고속도로/NNG 변__09/NNG 이/JKS 쓰레기/NNG (으)로/JKB 몸살__01/NNG 을/JKO 앓/VV 고/EC 있/VX 다/EF ./SF
8,거리__01/NNG 는/JX 오토바이/NNG 와/JC 자동차/NNG 들/XSN 그리고/MAJ 인파/NNG (으)로/JKB 정신__12/NNG 이/JKS 없/VA 다/EF ./SF
9,피서객/NNG 들/XSN (으)로/JKB 전국__03/NNG 이/JKS 붐비/VV 는/ETM 8/SN 월/NNB ./SF
10,온몸/NNG 이/JKS 땀__01/NNG (으)로/JKB 후줄근/XR 하/XSA 게/EC 젖__01/VV 어/EC 있/VX 었/EP 다/EF ./SF
11,"/SS 유기질/NNG 비료/NNG 공장__02/NNG 문제__06/NNG (으)로/JKB 정신__12/NNG 이/JKS 없/VA 습니다/EF ./SF
12,평범/XR 하/XSA ᆫ/ETM 그/MM 말__01/NNG 들/XSN (으)로/JKB 여가__03/NNG 는/JX 끝나/VV ᆫ다/EF ./SF
13,*/SW 우즈/NNP 복귀/NNG 첫날/NNG 짙/VA 은/ETM 안개/NNG (으)로/JKB 경기__11/NNG 중단__04/NNG
14,돌연/MAG 하/XSA ᆫ/ETM 슬픔/NNG (으)로/JKB 목__01/NNG 이/JKS 메__02/VV 었/EP 다/EF ./SF
15,계속__04/NNG 되/XSV 는/ETM 불행/NNG (으)로/JKB 마을__01/NNG 이/JKS 온통/MAG 쑥밭/NNG 이/JKC 되__01/VV 었/EP 다/EF ./SF
16,연속__02/NNG 실책/NNG 성/XSN 플레이/NNG (으)로/JKB 천보성/NNP 감독__02/NNG 의/JKG 속__01/NNG 을/JKO 태우__01/VV ᆫ다/EF ./SF
17,그/MM 덕택/NNG (으)로/JKB 우리/NP 는/JX 나라/NNG 를/JKO 되찾/VV 은/ETM 것/NNB 이/VCP ᄇ니다/EF ./SF
18,몸__01/NNG 은/JX 땀__01/NNG (으)로/JKB 범벅/NNG 이/JKC 되__01/VV 어/EC 있/VX 었/EP 다/EF ./SF
19,따라서/MAJ 칼슘/NNG 방출__01/NNG 의/JKG 증가__01/NNG (으)로/JKB 골다공증/NNG 의/JKG 현상__04/NNG 이/JKS 일어나/VV ᆫ다/EF ./SF
20,오늘/NNG 은/JX 또/MAG 무슨/MM 일__01/NNG (으)로/JKB 저러/VV 는/ETM 것/NNB 이/VCP ᆯ까/EF ./SF
21,하늘/NNG 을/JKO 가리__02/VV ᆫ/ETM 먹구름/NNG (으)로/JKB 사방__03/NNG 이/JKS 어둑/XR 하/XSA 다/EF ./SF
22,등산/NNG (으)로/JKB 다지/VV ᆫ/ETM 왕성__02/NNG 하/XSA ᆫ/ETM 체력/NNG 이/JKS 자랑/NNG ./SF
23,고문__04/NNG 후유증/NNG (으)로/JKB 건구역__05/NNG 질/XSN ,/SP 불안__01/NNG ,/SP 우울증/NNG 에/JKB 시달리/VV 었/EP 다/EF ./SF
24,웨이크필드/NNP 는/JX 이날/NNG 경기__11/NNG 초반__01/NNG 제구력/NNG 난조__01/NNG (으)로/JKB 어려움/NNG 을/JKO 겪/VV 었/EP 다/EF ./SF
25,그/NP (으)로/JKB 인하__01/VV ᆫ/ETM 무한대/NNG 의/JKG 수입__01/NNG 창출__01/NNG ./SF
26,가슴속/NNG 이/JKS 온통/MAG 분노/NNG (으)로/JKB 소용돌이치/VV 었/EP 기/ETN 때문/NNB 이/VCP 었/EP 다/EF ./SF
27,침묵/NNG 은/JX 금세/MAG 웃음/NNG (으)로/JKB 얼버무리/VV 어/EC 지/VX 었/EP 다/EF ./SF
28,수치__03/NNG 와/JC 분노/NNG (으)로/JKB 그녀/NP 는/JX 부르르/MAG 몸__01/NNG 을/JKO 떨__01/VV 었/EP 다/EF ./SF
29,대학__01/NNG 전체__01/NNG 가/JKS 몇/MM 달__05/NNG 동안__01/NNG 그/MM 준비/NNG (으)로/JKB 들끓/VV 었/EP 다/EF ./SF
30,얼굴/NNG 이/JKS 상처__02/NNG 와/JC 땀__01/NNG (으)로/JKB 범벅/NNG 이/JKC 되__01/VV 고/EC 말__01/NNG 이/VCP 에요/EF ./SF
31,정치__03/NNG 권/XSN 이/JKS 신/XPN 당__14/NNG 이야기/NNG (으)로/JKB 어지럽/VA 다/EF ./SF
32,폭격/NNG (으)로/JKB 잿더미/NNG 가/JKC 되__01/VV ᆫ/ETM 마을__01/NNG 이/VCP 었/EP 습니다/EF ./SF
33,그리__02/MAG 하/XSV 아서/EC 농자천하지대본/NNG (으)로/JKB 우리/NP 풍년/NNG 만들/VV 어/EC 보/VX 자/EF !/SF
34,지난해/NNG 집중__02/NNG 호우__05/NNG (으)로/JKB 엉망/NNG 이/JKC 되__01/VV 었/EP 던/ETM 용인/NNP 가족__01/NNG 묘지__02/NNG ./SF
35,말__01/NNG 하/XSV 는/ETM 이빨/NNG 사이__01/NNG 와/JC 혓바닥/NNG 도/JX 탄가루/NNG (으)로/JKB 새까맣/VA 았/EP 다/EF ./SF
36,아이__01/NNG 들/XSN 은/JX 너나없이/MAG 땀__01/NNG (으)로/JKB 물쥐/NNG 처럼/JKB 젖__01/VV 어/EC 있/VX 었/EP 다/EF ./SF
37,하지만/MAJ 주가__05/NNG 폭락/NNG 만/JX (으)로/JKB 사태__06/NNG 는/JX 그치/VV 지/EC 않/VX 았/EP 다/EF ./SF
38,6/SN ·/SP 25/SN 전쟁/NNG (으)로/JKB 집안__01/NNG 이/JKS 풍비박산/NNG 이/JKC 되__01/VV 었/EP 다/EF ./SF
39,어머니/NNG 의/JKG 얼굴/NNG 은/JX 눈물__01/NNG (으)로/JKB 흠뻑/MAG 젖__01/VV 어/EC 있/VX 었/EP 다/EF ./SF
40,심포지움/NNG 사건__01/NNG (으)로/JKB 일주일/NNG 간__10/NNB 경찰서/NNG 에서/JKB 조사__30/NNG 를/JKO 받__01/VV 았/EP 다/EF ./SF
41,레스토랑/NNG 은/JX 정장__04/NNG 의/JKG 남녀/NNG 들/XSN (으)로/JKB 제법/MAG 붐비/VV 었/EP 다/EF ./SF
42,그/NP 의/JKG 얼굴/NNG 은/JX 괴로움/NNG 과/JC 분노/NNG (으)로/JKB 일그러지/VV 었/EP 다/EF ./SF
43,과로__01/NNG (으)로/JKB 쓰러지/VV ᆫ/ETM 소녀__02/NNG 가장__07/NNG 이/VCP 었/EP 지/EF ./SF
44,불볕/NNG 더위/NNG (으)로/JKB 대구/NNP 는/JX 푹푹/MAG 찌__05/VV 고/EC 있/VX 었/EP 다/EF ./SF
45,그중/NNG 7/SN 명/NNB 은/JX 폭풍__01/NNG 속__01/NNG 에서/JKB 교통사고/NNG (으)로/JKB 숨지/VV 었/EP 다/EF ./SF
46,죽음__01/NNG (으)로/JKB 훌쩍/MAG 배낭여행/NNG 떠나/VV 고/EC 싶/VX 기/ETN 도/JX 하/VX 다/EF ./SF
47,'/SS 수서/NNP '/SS '/SS 걸프/NNP '/SS (으)로/JKB 안팎/NNG 이/JKS 시끄럽/VA 다/EF ./SF
48,이번__01/NNG 사건__01/NNG (으)로/JKB 검찰__02/NNG 과/JC 경찰__04/NNG 은/JX 위신__04/NNG 을/JKO 잃/VV 었/EP 다/EF ./SF
49,제임스/NNP 의/JKG 노력__01/NNG (으)로/JKB 재판__06/NNG 은/JX 승리/NNG 의/JKG 조짐/NNG 이/JKS 보이__01/VV 었/EP 다/EF ./SF
50,돈__01/NNG (으)로/JKB 물들/VV ᆫ/ETM 숙달__02/NNG 되/XSV ᆫ/ETM 모델/NNG 들/XSN 이/VCP 다/EF ./SF
51,큰바람/NNG 의/JKG 호소__01/NNG (으)로/JKB 강당/NNG 은/JX 눈물__01/NNG 바다/NNG 를/JKO 이루__01/VV 었/EP 다/EF ./SF
52,그리고/MAJ 그/NP (으)로/JKB 인하/VV 아서/EC 좌절/NNG 하/XSV 게/EC 되/VX ᆫ다/EF ./SF
53,▴/SW 조규제/NNP 29/SN 일/NNB 만/JX 의/JKG 등판__03/NNG (으)로/JKB 몸__01/NNG 이/JKS 굳/VV 은/ETM 듯/NNB ./SF
54,그/NP 는/JX 폐결핵/NNG (으)로/JKB 죽__01/VV 었/EP 다/EF ./SF
55,울진/NNP 은/JX 지금__03/MAG 시민/NNG 들/XSN 의/JKG 반대__03/NNG 열기__07/NNG (으)로/JKB 뜨겁/VA 다/EF ./SF
56,부당__01/NNG 하/XSA ᆫ/ETM 장기__10/NNG 화/XSN (으)로/JKB 인하__01/VV ᆫ/ETM 자백__01/NNG
57,그러나/MAJ 표정__03/NNG 은/JX 한/MM 줄기__01/NNG 자신감/NNG (으)로/JKB 빛나/VV 고/EC 있/VX 었/EP 다/EF ./SF
58,모든/MM 운동__02/NNG 권/XSN 은/JX 그것/NP (으)로/JKB 상당히/MAG 상처__02/NNG 를/JKO 받__01/VV 았/EP 다/EF ./SF
59,수많/VA 은/ETM 생각__01/NNG 들/XSN (으)로/JKB 머리__01/NNG 속__01/NNG 은/JX 혼란/NNG 스럽/XSA 었/EP 다/EF ./SF
60,그동안/NNG 여러/MM 가지/NNB 일__01/NNG (으)로/JKB 좀/MAG 바쁘/VA 아서요/EF ./SF "/SS
61,최/XPN 첨단__01/NNG 기술__01/NNG 도입/NNG (으)로/JKB 선망__04/NNG 의/JKG 대상__11/NNG 이/JKC 되__01/VV 었/EP 던/ETM 프로젝트/NNG ./SF
62,정숙이/NNP 의/JKG 가출__02/NNG (으)로/JKB 학교/NNG 는/JX 술렁거리/VV 었/EP 다/EF ./SF
63,구영국민학교/NNP 도/JX 아파트/NNG 신축__03/NNG (으)로/JKB 갑자기/MAG 학교/NNG 규모/NNG 가/JKS 커지/VV 었/EP 다/EF ./SF
64,괴혈병/NNG 비타민/NNG C/SL 의/JKG 결핍/NNG (으)로/JKB 일어나/VV 는/ETM 병__04/NNG ./SF
65,요즘/NNG 은/JX 컴퓨터/NNG 의/JKG 도움/NNG (으)로/JKB 이런/MM 노력__01/NNG 이/JKS 많이/MAG 줄어들/VV 었/EP 다/EF ./SF
66,그/NP 의/JKG 죽음__01/NNG (으)로/JKB 이제/MAG 정착/NNG 을/JKO 하/VV 았/EP 다/EF ./SF
67,그/MM 파장__02/NNG (으)로/JKB 손__01/NNG 이/JKS 옴직거리/VV 었/EP 다/EF ./SF
68,생각__01/NNG 만/JX (으)로/JKB 도/JX 얼굴/NNG 이/JKS 화끈거리/VV 었/EP 다/EF ./SF
69,공연장/NNG 안__01/NNG 은/JX 사람/NNG 들/XSN 의/JKG 열기__07/NNG (으)로/JKB 후끈거리/VV 었/EP 다/EF ./SF
70,국제__02/NNG 공항__02/NNG 은/JX 온통/MAG 기쁨/NNG (으)로/JKB 출렁거리/VV 고/EC 있/VX 었/EP 습니다/EF ./SF
71,도이미나/NNP 의/JKG 친/XPN 어머니/NNG 는/JX 오래/MAG 전__08/NNG 에/JKB 자궁암/NNG (으)로/JKB 죽__01/VV 었/EP 다/EF ./SF
72,칠/NR 월/NNB 장마__01/NNG (으)로/JKB 강물/NNG 이/JKS 불__01/VV 어/EC 있/VX 었/EP 습니다/EF ./SF
73,결혼식장/NNG 은/JX KBS/SL ,/SP MBC/SL 기자__05/NNG 와/JC 아나운서/NNG (으)로/JKB 붐비/VV 었/EP 다/EF ./SF
74,그러나/MAJ 핵무기/NNG 나/JC 환경오염/NNG 등__05/NNB (으)로/JKB 그/MM 신뢰__02/NNG 가/JKS 무너지/VV 어/EC 가/VX ᆫ다/EF ./SF
75,또/MAG 이런/MM 통신__01/NNG 의/JKG 발달/NNG (으)로/JKB 생활/NNG 방식__01/NNG 도/JX 많이/MAG 달라지/VV 었/EP 다/EF ./SF
76,아버지/NNG 의/JKG 귀가__03/NNG 는/JX 녹내장/NNG (으)로/JKB 인하__01/VV ᆫ/ETM 것/NNB 이/VCP 었/EP 다/EF ./SF
77,그/MM 후유증/NNG (으)로/JKB 자유__03/NNG 가/JKS 그립/VA 었/EP 던/ETM 것/NNB 이/VCP 다/EF ./SF
78,바이러스/NNG 병__04/NNG 바이러스/NNG 의/JKG 감염/NNG (으)로/JKB 일어나/VV 는/ETM 병__04/NNG ./SF
79,증시__88/NNG 가/JKS 미국발/NNG 악재__01/NNG (으)로/JKB 휘청거리/VV 고/EC 있/VX 다/EF ./SF
80,차__06/NNG 안__01/NNG 은/JX 벌써/MAG 사람/NNG 들/XSN (으)로/JKB 꽉/MAG 차__01/VV 아/EC 있/VX 었/EP 다/EF ./SF
81,그/NP (으)로/JKB 인하__01/VV 아/EC 템즈강/NNP 이/JKS 오염/NNG 되/XSV ᄇ니다/EF ./SF
82,알/NNP 의/JKG 얼굴/NNG 이/JKS 기쁨/NNG (으)로/JKB 환하/VA 아/EC 지/VX 었/EP 다/EF ./SF
83,나/NP 는/JX 그/MM 갈망__02/NNG (으)로/JKB 가슴__01/NNG 이/JKS 메__02/VV 었/EP 다/EF ./SF
84,연거푸/MAG 일어나/VV 는/ETM 실수__01/NNG (으)로/JKB 박장대소/NNG ./SF
85,"/SS 풍랑/NNG (으)로/JKB 돌아가/VV 시/EP 었/EP 어/EF ./SF "/SS
86,그런데/MAJ 이번__01/NNG 단식__04/NNG (으)로/JKB 쓰러지/VV ᆫ/ETM 것/NNB 이/VCP ᄇ니다/EF ./SF "/SS
87,사람/NNG 들/XSN (으)로/JKB 자연__01/NNG 이/JKS 몸살__01/NNG 을/JKO 앓/VV 지/EC 는/JX 않/VX 을까/EF ./SF
88,지금__03/MAG 우리/NP 들/XSN 은/JX 집회/NNG 준비/NNG (으)로/JKB 여력__02/NNG 이/JKS 없/VA 어/EF ./SF
