Number,Sentence
1,굿/NNG 무당__01/NNG 노래/NNG 춤__01/NNG (으)로/JKB 귀신__01/NNG 치성__01/NNG 드리__01/VV 의식__04/NNG
2,수한/NNP 저/NP 손__01/NNG (으)로/JKB 저/NP 가슴__01/NNG 열__02/VV
3,그때/NNG 카메라맨/NNG 인터컴/NNG (으)로/JKB 대화__06/NNG 하/VV
4,이/NNP 선생__01/NNG 턱__01/NNG (으)로/JKB 배/NNP 선생__01/NNG 교실/NNG 가리키__01/VV
5,병경이/NNP 형__01/NNG 주먹/NNG (으)로/JKB 신랑__02/NNG 뺨/NNG 콱/MAG 쥐어박/VV
6,조/NNP 차장/NNG 손가락/NNG 끝__01/NNG (으)로/JKB 나/NP 가리키__01/VV
7,효철/NNP 손등__01/NNG (으)로/JKB 다희/NNP 젖가슴/NNG 툭툭/MAG 건드리/VV
8,내/NP 속__01/NNG (으)로/JKB 체증__01/NNG 나/VV
9,저녁/NNG 차__06/NNG (으)로/JKB 내려가/VV
10,틀바느질/NNG 재봉틀/NNG (으)로/JKB 바느질/NNG 선__14/NNG 박/VV 일__01/NNG
11,중년__01/NNG 눈__01/NNG (으)로/JKB 대답/NNG 소년/NNG 묻__03/VV
12,그렇지만/MAJ 애쓰/VV 명랑/NNG 목소리/NNG (으)로/JKB 말__01/NNG
13,아버지/NNG 크/VA 소리__01/NNG (으)로/JKB 의기양양/NNG 말__01/NNG
14,삼베/NNG 버선/NNG (으)로/JKB 땀__01/NNG 배어나/VV
15,달__05/NNG 엄마/NNG 목소리/NNG (으)로/JKB 가만히/MAG 부르/VV
16,주먹/NNG (으)로/JKB 술상/NNG 내리치__01/VV
17,열쇠/NNG (으)로/JKB 꼭꼭__01/MAG 채우__03/VV 모습__01/NNG
18,엄마/NNG 기어코/MAG 옷고름/NNG (으)로/JKB 눈물__01/NNG 찍__02/VV
19,효철/NNP 경멸/NNG 눈빛__01/NNG (으)로/JKB 정혜/NNP 쏘아보/VV
20,욕실/NNG 수증기/NNG (으)로/JKB 가득/MAG 차__01/VV
21,토끼/NNG 목소리/NNG (으)로/JKB 참꽃/NNG 피__01/VV
22,거리__01/NNG 연일__01/NNG 최루탄/NNG 연기__09/NNG (으)로/JKB 뒤덮이/VV
23,직공__02/NNG 기숙사/NNG (으)로/JKB 쓰__03/VV 방__07/NNG
24,화냥년/NNG 갈보/NNG 년__01/NNB 걸레짝/NNG (으)로/JKB 못/MAG 쓰__03/VV 년__01/NNB
25,그/NP 넷/NR 모두/MAG 속__01/NNG (으)로/JKB 안도__02/NNG 한숨__02/NNG 내쉬/VV
26,그/NP 분노/NNG (으)로/JKB 치__12/NNG 떨__01/VV
27,한/NNP 목사__05/NNG 교회__02/NNG 장비__07/NNG (으)로/JKB 직접/MAG 방송__01/NNG 하/VV
28,토담/NNG 너메/NNG (으)로/JKB 끝순이/NNP 어메/NNG 얼매나/MAG 숭__01/NNG 보__01/VV
29,공업__01/NNG 재봉틀/NNG 대__15/NNB (으)로/JKB 가게/NNG 문__05/NNG 열__02/VV 정우성/NNP 씨/NNB
30,부겐빌레아/NNG 그늘/NNG 흙/NNG (으)로/JKB 덮/VV 자리__01/NNG 그대로/MAG
31,장모__01/NNG 수건/NNG (으)로/JKB 얼굴/NNG 감싸/VV 오열__08/NNG
32,온몸/NNG (으)로/JKB 그/NP 바람__01/NNG 다/MAG 맞아들이/VV
33,저/NP 손바닥/NNG (으)로/JKB 남편__01/NNG 팔__01/NNG 감싸/VV
34,완전히/MAG 콧구멍/NNG (으)로/JKB 스팀/NNG 뿜/VV 기세__01/NNG
35,뒷산/NNG 어느새/MAG 연초록/NNG 잎/NNG (으)로/JKB 덮이/VV
36,가르시아/NNP 출입문/NNG 손가락/NNG (으)로/JKB 가리키__01/VV
37,그/NP 속__01/NNG (으)로/JKB 중얼거리/VV
38,드라이버/NNG (으)로/JKB 나사__01/NNG 풀/VV 팬__02/NNG 해체__03/NNG
39,진우/NNP 속__01/NNG (으)로/JKB 수혜/NNP 말__01/NNG 되새기__01/VV
40,유태인/NNG 달력/NNG 태음력/NNG 해__01/NNG (으)로/JKB 이루__01/VV
41,하/VV 조선말/NNG (으)로/JKB 이/NNP 서방__02/NNG 명__05/NNG
42,누구/NP 발길/NNG (으)로/JKB 탁/MAG 차__02/VV
43,첫째/NR 그냥/MAG 나이__01/NNG (으)로/JKB 회갑__02/NNG 살__01/VV 것/NNB
